"sentrix"	"sex"
"5822986021_R01C01"	"M"
"5822986021_R01C02"	"M"
"5822986021_R02C01"	"M"
"5822986021_R02C02"	"F"
"5822986021_R03C01"	"M"
"5822986021_R03C02"	"M"
"5822986021_R04C01"	"M"
"5822986021_R04C02"	"F"
"5822986021_R05C02"	"M"
"5822986021_R06C01"	"M"
"5822986021_R06C02"	"M"
"5823031009_R01C01"	"F"
"5823031009_R02C01"	"F"
"5823031009_R02C02"	"M"
"5823031009_R03C01"	"F"
"5823031009_R03C02"	"M"
"5823031009_R04C01"	"M"
"5823031009_R04C02"	"M"
"5823031009_R05C01"	"M"
"5823031009_R05C02"	"F"
"5823031009_R06C01"	"M"
"5823031009_R06C02"	"F"
"5823031011_R01C01"	"M"
"5823031011_R01C02"	"F"
"5823031011_R03C01"	"M"
"5823031011_R03C02"	"M"
"5823031011_R04C01"	"M"
"5823031011_R04C02"	"F"
"5823031011_R05C01"	"F"
"5823031011_R05C02"	"M"
"5823031011_R06C01"	"F"
"5823031011_R06C02"	"M"
"5823031021_R01C01"	"F"
"5823031021_R01C02"	"F"
"5823031021_R02C01"	"M"
"5823031021_R02C02"	"M"
"5823031021_R03C02"	"M"
"5823031021_R04C02"	"M"
"5823031021_R05C02"	"F"
"5823031021_R06C01"	"M"
"5823031021_R06C02"	"M"
"5854945025_R01C01"	"M"
"5854945025_R01C02"	"M"
"5854945025_R02C01"	"M"
"5854945025_R02C02"	"M"
"5854945025_R03C01"	"F"
"5854945025_R03C02"	"M"
"5854945025_R04C02"	"M"
"5854945025_R05C01"	"M"
"5854945025_R05C02"	"F"
"5854945025_R06C01"	"M"
"5854945025_R06C02"	"M"
"5854945037_R01C01"	"M"
"5854945037_R01C02"	"M"
"5854945037_R02C01"	"M"
"5854945037_R02C02"	"M"
"5854945037_R03C01"	"M"
"5854945037_R03C02"	"F"
"5854945037_R04C01"	"M"
"5854945037_R04C02"	"M"
"5854945037_R05C01"	"M"
"5854945037_R05C02"	"F"
"5854945037_R06C01"	"F"
"5854945037_R06C02"	"F"
"5854945039_R01C01"	"M"
"5854945039_R01C02"	"M"
"5854945039_R02C01"	"M"
"5854945039_R02C02"	"F"
"5854945039_R03C01"	"M"
"5854945039_R03C02"	"F"
"5854945039_R04C01"	"F"
"5854945039_R04C02"	"M"
"5854945039_R05C01"	"F"
"5854945039_R05C02"	"M"
"5854945039_R06C01"	"F"
"5854945039_R06C02"	"M"
"5854945059_R01C01"	"M"
"5854945059_R01C02"	"M"
"5854945059_R02C01"	"M"
"5854945059_R02C02"	"M"
"5854945059_R03C01"	"F"
"5854945059_R03C02"	"M"
"5854945059_R04C01"	"M"
"5854945059_R04C02"	"M"
"5854945059_R05C01"	"M"
"5854945059_R05C02"	"F"
"5854945059_R06C01"	"F"
"5854945059_R06C02"	"F"
"5859594001_R01C01"	"M"
"5859594001_R02C01"	"M"
"5859594001_R03C01"	"M"
"5859594001_R04C01"	"F"
"5859594001_R06C01"	"M"
"5859594003_R01C01"	"F"
"5859594003_R02C01"	"M"
"5859594003_R03C01"	"F"
"5859594003_R04C01"	"M"
"5859594003_R05C01"	"F"
"5859594003_R06C01"	"M"
"5859594004_R01C01"	"F"
"5859594004_R02C01"	"F"
"5859594004_R03C01"	"F"
"5859594004_R04C01"	"M"
"5859594004_R05C01"	"F"
"5859594004_R06C01"	"M"
"5859594010_R01C01"	"F"
"5859594010_R02C01"	"F"
"5859594010_R03C01"	"F"
"5859594010_R04C01"	"F"
"5859594010_R05C01"	"M"
"5859594010_R06C01"	"M"
"5859594011_R01C01"	"F"
"5859594011_R02C01"	"F"
"5859594011_R03C01"	"F"
"5859594011_R04C01"	"F"
"5859594011_R05C01"	"F"
"5859594011_R06C01"	"M"
"5859594013_R01C01"	"F"
"5859594013_R02C01"	"M"
"5859594013_R04C01"	"M"
"5859594013_R05C01"	"M"
