geo	age
GSM2334067	14
GSM2333952	15
GSM2334024	15
GSM2334059	15
GSM2334135	15
GSM2334149	15
GSM2334152	15
GSM2334153	15
GSM2334178	15
GSM2334222	15
GSM2334262	15
GSM2334271	15
GSM2334274	15
GSM2334349	15
GSM2334362	15
GSM2334388	15
GSM2334497	15
GSM2334532	15
GSM2334549	15
GSM2334591	15
GSM2334611	15
GSM2333924	16
GSM2333926	16
GSM2333983	16
GSM2334109	16
GSM2334181	16
GSM2334197	16
GSM2334212	16
GSM2334306	16
GSM2334316	16
GSM2334325	16
GSM2334354	16
GSM2334413	16
GSM2334445	16
GSM2334468	16
GSM2334475	16
GSM2334484	16
GSM2334490	16
GSM2334569	16
GSM2334578	16
GSM2334597	16
GSM2334625	16
GSM2334626	16
GSM2333963	17
GSM2333964	17
GSM2333990	17
GSM2334035	17
GSM2334057	17
GSM2334062	17
GSM2334107	17
GSM2334145	17
GSM2334147	17
GSM2334148	17
GSM2334150	17
GSM2334156	17
GSM2334176	17
GSM2334192	17
GSM2334293	17
GSM2334326	17
GSM2334332	17
GSM2334428	17
GSM2334436	17
GSM2334456	17
GSM2334460	17
GSM2334604	17
GSM2333907	18
GSM2333912	18
GSM2333984	18
GSM2333986	18
GSM2333987	18
GSM2333988	18
GSM2333989	18
GSM2333997	18
GSM2333999	18
GSM2334061	18
GSM2334120	18
GSM2334143	18
GSM2334282	18
GSM2334322	18
GSM2334500	18
GSM2334509	18
GSM2334524	18
GSM2334557	18
GSM2334576	18
GSM2333982	19
GSM2333985	19
GSM2334058	19
GSM2334138	19
GSM2334151	19
GSM2334167	19
GSM2334200	19
GSM2334204	19
GSM2334209	19
GSM2334216	19
GSM2334310	19
GSM2334321	19
GSM2334358	19
GSM2334397	19
GSM2334465	19
GSM2334494	19
GSM2334018	20
GSM2334039	20
GSM2334045	20
GSM2334208	20
GSM2334210	20
GSM2334421	20
GSM2334446	20
GSM2334513	20
GSM2334572	20
GSM2333965	21
GSM2334175	21
GSM2334191	21
GSM2334207	21
GSM2334291	21
GSM2334356	21
GSM2334370	21
GSM2334372	21
GSM2334376	21
GSM2334447	21
GSM2334476	21
GSM2334577	21
GSM2334584	21
GSM2334589	21
GSM2333923	22
GSM2333961	22
GSM2333974	22
GSM2334022	22
GSM2334072	22
GSM2334094	22
GSM2334131	22
GSM2334158	22
GSM2334309	22
GSM2334364	22
GSM2334463	22
GSM2334531	22
GSM2334556	22
GSM2333903	23
GSM2333938	23
GSM2333962	23
GSM2333975	23
GSM2334157	23
GSM2334190	23
GSM2334328	23
GSM2334398	23
GSM2334414	23
GSM2334429	23
GSM2334450	23
GSM2334452	23
GSM2334487	23
GSM2334526	23
GSM2334160	24
GSM2334173	24
GSM2334194	24
GSM2334518	24
GSM2333959	25
GSM2333976	25
GSM2334117	25
GSM2334234	25
GSM2334247	25
GSM2334357	25
GSM2334368	25
GSM2334444	25
GSM2334624	25
GSM2334025	26
GSM2334049	26
GSM2334060	26
GSM2334237	26
GSM2334553	26
GSM2334023	27
GSM2334071	27
