SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-111YS-0006-SM-5NQBE,,B1,,8.2,Blood,Whole Blood,13756,-121,,BP-38780,RNA isolation_PAXgene Blood RNA (Manual),05/08/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.981573,565100,0.965938,,0.985108,0.810071,,18229,1,,76,,0.00271236,128,0,7.95E+07,0.0329545,224915,8.07E+07,1.12E+07,,18237,3.95E+07,,,0,0.155867,0.985108,0.798007,7.95E+07,0.00586091,1.78E+07,6.93E+07,1.80E+07,148,1.81E+07,1.79E+07,0.00428098,1.80E+07,49.8542,0.00278633,0.988644,,0,50.382
GTEX-1122O-0005-SM-5O99J,,B1,,7.6,Blood,Whole Blood,13756,-77,,BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.986466,912057,0.944916,,0.990744,0.777156,,18928,1,,76,,0.00230212,124,0,7.17E+07,0.0545957,207142,7.24E+07,1.05E+07,,18944,3.56E+07,,,0,0.16776,0.990744,0.769962,7.17E+07,0.00416304,1.54E+07,4.43E+07,1.56E+07,142,1.56E+07,1.39E+07,0.00322856,1.56E+07,49.9416,0.00286035,0.995023,,0,50.3328
GTEX-1128S-0005-SM-5P9HI,,B1,,6.7,Blood,Whole Blood,13756,783,,BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013,LCSET-4916,03/27/2014,TruSeq.v1,RNASEQ,,0.973177,1.38E+06,0.946127,,0.973843,0.709849,,20836,1,,76,,0.00365126,143,0,1.14E+08,0.0529809,273590,1.17E+08,4.17E+06,,20867,5.66E+07,,,0,0.236279,0.973843,0.691281,1.14E+08,0.00430654,2.51E+07,1.52E+08,2.57E+07,169,2.56E+07,2.37E+07,0.00397868,2.54E+07,49.7569,0.00234088,0.974509,,0,50.5713
GTEX-113IC-0006-SM-5NQ9C,,B1,,8.6,Blood,Whole Blood,13756,-351,,BP-38883,RNA isolation_PAXgene Blood RNA (Manual),05/10/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.990953,494848,0.954345,,0.992398,0.75565,,20349,1,,76,,0.00238642,114,0,6.55E+07,0.0451442,84043,6.60E+07,4.88E+06,,20363,3.26E+07,,,0,0.198695,0.992398,0.749905,6.55E+07,0.00341612,1.43E+07,3.87E+07,1.45E+07,125,1.45E+07,1.28E+07,0.00290052,1.44E+07,49.8851,0.00127309,0.993843,,0,50.3045
GTEX-113JC-0006-SM-5O997,,B1,,7.6,Blood,Whole Blood,13756,587,,BP-38943,RNA isolation_PAXgene Blood RNA (Manual),05/14/2013,LCSET-4909,03/20/2014,TruSeq.v1,RNASEQ,,0.958802,385976,0.981747,,0.962992,0.784795,,18233,1,,76,,0.00239205,100,0,8.49E+07,0.0170281,162448,8.82E+07,1.33E+07,,18239,4.22E+07,,,0,0.196953,0.962992,0.755751,8.49E+07,0.00437273,1.98E+07,1.31E+08,2.01E+07,135,2.01E+07,2.20E+07,0.00337808,2.01E+07,50.0516,0.00184191,0.967181,,0,50.3599
GTEX-117XS-0005-SM-5PNU6,,B1,,6.4,Blood,Whole Blood,13756,802,,BP-38943,RNA isolation_PAXgene Blood RNA (Manual),05/14/2013,LCSET-4917,03/27/2014,TruSeq.v1,RNASEQ,,0.960674,371056,0.978298,,0.962396,0.807746,,16519,1,,76,,0.00234312,95,0,6.48E+07,0.0200178,230282,6.73E+07,7.02E+06,,16521,3.22E+07,,,0,0.170553,0.962396,0.777371,6.48E+07,0.00406583,1.52E+07,1.11E+08,1.53E+07,113,1.53E+07,1.69E+07,0.00320293,1.54E+07,50.0999,0.00342253,0.964118,,0,50.2075
GTEX-117YW-0005-SM-5NQ8Z,,B1,,8.5,Blood,Whole Blood,13756,771,,BP-38943,RNA isolation_PAXgene Blood RNA (Manual),05/14/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.976598,363381,0.978813,,0.978503,0.780731,,18582,1,,76,,0.00247853,109,0,7.83E+07,0.0199449,202166,8.01E+07,7.28E+06,,18593,3.90E+07,,,0,0.198082,0.978503,0.763948,7.83E+07,0.0037221,1.80E+07,1.06E+08,1.85E+07,133,1.85E+07,1.88E+07,0.0030991,1.81E+07,49.5711,0.00252512,0.980408,,0,50.6636
GTEX-1192W-0005-SM-5NQBQ,,B1,,8,Blood,Whole Blood,13756,645,,BP-39103,RNA isolation_PAXgene Blood RNA (Manual),05/17/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.955354,451704,0.977321,,0.958825,0.78972,,18463,1,,76,,0.00264578,105,0,8.42E+07,0.0215172,219172,8.78E+07,1.37E+07,,18474,4.18E+07,,,0,0.187601,0.958825,0.757203,8.42E+07,0.00611466,1.95E+07,1.34E+08,1.97E+07,136,1.98E+07,2.17E+07,0.00437395,1.97E+07,49.9529,0.00249659,0.962296,,0,50.3593
GTEX-1192X-0005-SM-5NQC3,,B1,,8.3,Blood,Whole Blood,13756,757,,BP-39103,RNA isolation_PAXgene Blood RNA (Manual),05/17/2013,LCSET-4907,03/21/2014,TruSeq.v1,RNASEQ,,0.943029,266960,0.987234,,0.945071,0.822573,,14522,1,,76,,0.0026588,96,0,9.97E+07,0.00926193,54377,1.06E+08,1.45E+07,,14522,4.95E+07,,,0,0.164661,0.945071,0.77739,9.97E+07,0.00571526,2.41E+07,2.15E+08,2.45E+07,150,2.45E+07,3.14E+07,0.00418373,2.44E+07,49.9439,0.000515336,0.947114,,0,50.4068
GTEX-11DXW-0006-SM-5NQ7Y,,C1,,8.5,Blood,Whole Blood,13756,1076,,BP-39145,RNA isolation_PAXgene Blood RNA (Manual),05/20/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.988585,841985,0.959728,,0.990252,0.765478,,20098,1,,76,,0.00240676,127,0,7.49E+07,0.0397575,202834,7.57E+07,5.85E+06,,20110,3.73E+07,,,0,0.19425,0.990252,0.758016,7.49E+07,0.00358549,1.66E+07,5.90E+07,1.69E+07,141,1.69E+07,1.55E+07,0.00299513,1.67E+07,49.7419,0.00268047,0.991919,,0,50.4888
