gene,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue
PRDM5,0.6826763829082477,-0.5131718606244791,0.0,-0.211175018667641,3.174900767020808e-05
PCSK9,0.6005299768135144,-0.1942989261885368,5.0515783279945264e-73,-0.1643639574389442,0.0384316580658065
FAM184B,0.5982113282543889,-0.1528785237601809,8.734467608521321e-29,-0.1761353058930909,0.0076202110623684
ZNF667,0.4961907916528651,-0.6216354998570264,0.0,-0.1996913875133827,0.000213888445485
PRICKLE1,0.4786353097052004,-0.2351160217618715,7.280856059833171e-109,-0.2399928925490785,1.615604110660046e-07
HOXA9,0.4745500717676935,-0.3678761062759212,5.089770860279805e-187,-0.2375675413894922,2.59059739004888e-07
FAM110B,0.4739980125869493,-0.4346212939164841,0.0,-0.1781435478380503,0.0057185920405199
ADCY5,0.4703544219940377,-0.176668960003159,8.602435294419066e-60,-0.1767806240169867,0.0069511521091259
PODXL2,0.4521364690294799,-0.5616286388945697,0.0,-0.2856566197067074,8.256003077570434e-12
SH3BGRL2,0.4481616429281219,-0.1714515810608519,3.834168705474204e-56,-0.1633977554949937,0.0436770413998705
KCNK13,0.445401347024401,-0.1823858980817049,2.1445455888416905e-52,-0.1853924051574587,0.001974813753296
WDR35,0.4400463729711825,-0.3324848423334098,5.0894260068081616e-226,-0.2681191394874645,4.606986881112297e-10
GPR83,0.4349122225902617,-0.1135845764644456,3.3865840718677464e-20,-0.2635504424673031,1.2531525428019702e-09
FBXL2,0.4226565087777409,-0.3406357315200372,2.5456470119552862e-238,-0.1674704011473353,0.0253441771981428
GRIN3A,0.4200066247101689,-0.1608606326670005,4.4195332734391285e-49,-0.2776615313709732,5.3531261486095646e-11
TMEM132E,0.4131169261344816,-0.189125816837506,1.1386149598039652e-36,-0.2237421460239922,3.4655673898850635e-06
PRKCZ,0.4077509108976482,-0.2236673922705704,6.405576420728035e-89,-0.2212494765602981,5.435309138243416e-06
ZNF518B,0.4054322623385227,-0.494341831081686,0.0,-0.2489213106443178,2.7161983297409024e-08
WNT6,0.3998012586949321,-0.1092619793515535,2.8120643016008037e-21,-0.1659235755860583,0.0312122403887029
VENTX,0.3865518383570718,-0.1436751199813489,9.633268642379015e-30,-0.192828248519385,0.0006347615290122
MUL1,0.3774980677928674,-0.1547340538904667,2.2301246327560554e-31,-0.3359489538437526,1.532366229683033e-17
PPM1E,0.3729049354090758,-0.3856256980430877,1.936459979848002e-240,-0.198737636406787,0.0002493725009794
TES,0.3660152368333886,-0.5942683984806441,0.0,-0.2343946286329309,4.767457841134944e-07
CRABP2,0.3567406425968863,-0.1826332965112406,4.0385971559839054e-64,-0.2043062887271963,0.0001006940790307
EIF4E3,0.3428287512421331,-0.2398220134905649,1.815541407267668e-113,-0.2509367175926187,1.7984363514095468e-08
SLC9A2,0.3423318979794634,-0.1473638111667087,4.3261768706685945e-31,-0.1752766610875967,0.0086068853047215
SLC24A4,0.3338853925140775,-0.155061358859286,2.071382432036157e-45,-0.2569795021109334,5.110815137985849e-09
IRAK3,0.3312355084465054,-0.4044596925637684,0.0,-0.2342915345095609,4.862161641120098e-07
KL,0.3281715799933753,-0.1723558411512862,1.0286244388119769e-35,-0.2169969544765424,1.157016803550428e-05
ZNF75A,0.3265982113282544,-0.5468792413760527,0.0,-0.198816154641203,0.0002462481504238
IL17RB,0.3222921497184498,-0.1430554151641376,2.96221052272195e-38,-0.1693017463990297,0.0197574929194422
MFAP3L,0.3159986750579662,-0.2191021434266313,6.490281443287872e-94,-0.1882726242289154,0.00127915218213
CYP1B1,0.3150601744507011,-0.1206132607275472,4.06205909956905e-13,-0.2558466696694943,6.486562427907557e-09
TSHZ3,0.3140112620072872,-0.2156991496520917,6.918235739030566e-91,-0.1854037009077076,0.0019714791433971
RBP7,0.3103676714143756,-0.2069974582025185,2.2247843042065344e-83,-0.3127301866114427,9.299692082709448e-15
RNF32,0.3049850944021199,-0.2810116370922468,6.951334157590729e-132,-0.2489910623147882,2.6778763364494495e-08
TSPAN2,0.2969526333222921,-0.1219342900289946,1.323848068923264e-07,-0.3443813910101804,1.3002230837356377e-18
SLCO4C1,0.2904935409075853,-0.5383535791598238,0.0,-0.255409533558638,7.10931209403651e-09
ZNF658,0.2904935409075853,-0.2989798431595711,1.6854876281181954e-180,-0.1851118474073187,0.0020594029257547
BASP1,0.2888373633653527,-0.3041831839796554,2.2375316314700734e-186,-0.2030834179106522,0.0001231547096881
IMPACT,0.2858562437893342,-0.331836275734897,2.633631368084042e-225,-0.1626778592266684,0.0480225740274123
PEX11A,0.2855250082808877,-0.1011883254486066,0.0033990712106974,-0.1673910592816451,0.025617544652213
SCN9A,0.2851937727724412,-0.1492716734445471,6.939698443423478e-42,-0.1901434135391491,0.0009612725262441
PLEKHG6,0.2822126531964226,-0.3825293321319958,3.301849796764552e-306,-0.1870543379582855,0.0015383535301465
PLIN5,0.2812189466710831,-0.0734244849645569,2.891252095174692e-08,-0.2075076428353149,5.908928499346481e-05
FAM174B,0.2810533289168598,-0.1265766718914749,2.9186867116181397e-29,-0.2774919887393091,5.565948020709062e-11
KCNMA1,0.275919178535939,-0.2135248249329847,5.722577181928189e-89,-0.2096858847382067,4.091338192777752e-05
UNC5A,0.271944352434581,-0.1211626788964666,9.91054538741106e-27,-0.2197606304005079,7.093533220477151e-06
LHX1,0.2668102020536601,-0.1243272031021045,2.214006016104205e-22,-0.1687912498602569,0.0211833277050964
CCNJ,0.2656508777740974,-0.4459310598778767,0.0,-0.1806103542857052,0.0040014422195922
ZNF2,0.2620072871811858,-0.0671203599337756,1.7042226345863777e-06,-0.3094038663356762,2.2264753137082632e-14
ANXA5,0.2533951639615767,-0.1775382443289988,1.9968656192380623e-60,-0.1966393950435394,0.000348620495857
CLDN6,0.2527326929446836,-0.1580152581304756,2.9108904103978785e-47,-0.2075705570434262,5.846850572623842e-05
HPGD,0.2490891023517721,-0.1417350044501741,1.6851751004205688e-37,-0.2069395629575572,6.499189635123805e-05
IGFBP7,0.2441205697250745,-0.1236387416405108,6.317365846826127e-28,-0.2019406378980512,0.0001484848495364
CCNJL,0.2325273269294468,-0.2755115179328848,8.119558293208581e-117,-0.2111004811789796,3.215601097895269e-05
ITPRIPL2,0.2315336204041073,-0.1012603552136646,6.1985802492036244e-18,-0.1815308550584742,0.0034978824119333
NSUN7,0.2308711493872143,-0.5619434924370725,0.0,-0.2231736290320244,3.841982583455404e-06
F2RL1,0.2298774428618747,-0.1768204651035547,3.334567509740937e-56,-0.1800825791378406,0.0043208907563014
CTBP2,0.2259854256376283,-0.3610099445466744,2.9849971287728126e-138,-0.213652405639546,2.073508121361803e-05
FZD9,0.2255713812520702,-0.2523768556671739,2.6801367708767594e-126,-0.2058986926290039,7.7324951669846e-05
ZFP3,0.2212653196422656,-0.63910095181226,0.0,-0.2188500834938589,8.340258256334066e-06
ADCY4,0.2202716131169261,-0.1205902272283021,2.528308340293824e-21,-0.2235609807540107,3.5814384187610845e-06
TPK1,0.2166280225240145,-0.1323230049939308,2.3193878196565987e-32,-0.2307716240146902,9.464124756125744e-07
CACHD1,0.2164624047697913,-0.1848898200691694,1.645612350730505e-43,-0.2484168812543005,3.0097631677507496e-08
ITGA1,0.215634315998675,-0.0674387632388403,0.0026073539260425,-0.2340429996414154,5.098081668032236e-07
