cancer_type,recurrence,mean_beta
Pan-cancer,0.013249420337860219,0.11652966915224645
Pan-cancer,0.000662471016893011,0.11591813657372951
Pan-cancer,0.009605829744948658,0.1251159084585246
Pan-cancer,0.04339185160649221,0.15291522777532104
Pan-cancer,0.011924478304074197,0.12428923207640505
Pan-cancer,0.044054322623385225,0.14903048752663017
Pan-cancer,0.004637297118251077,0.11528562671630946
Pan-cancer,0.03279231533620404,0.1330036420855556
Pan-cancer,0.0076184166942696255,0.12103950680818874
Pan-cancer,0.03577343491222259,0.13686355607475043
Pan-cancer,0.0241801921165949,0.1249219853622981
Pan-cancer,0.0016561775422325273,0.11210240518329528
Pan-cancer,0.03146737330241802,0.1228091861637975
Pan-cancer,0.04140443855581318,0.15144230959818047
Pan-cancer,0.029479960251738987,0.13576905278958132
Pan-cancer,0.010599536270288175,0.12024531761126513
Pan-cancer,0.001324942033786022,0.11081282623035649
Pan-cancer,0.028817489234845974,0.13321403215024835
Pan-cancer,0.0023186485591255384,0.10872860001168017
Pan-cancer,0.005299768135144088,0.10974402360864464
Pan-cancer,0.05995362702881749,0.17956527192443472
Pan-cancer,0.0003312355084465055,0.10768082694214028
Pan-cancer,0.022524014574362372,0.12919102999025614
Pan-cancer,0.04272938058959921,0.13052705602341275
Pan-cancer,0.16462404769791322,0.3240794435721416
Pan-cancer,0.005631003643590593,0.12533557167012538
Pan-cancer,0.01457436237164624,0.12616934771299243
Pan-cancer,0.04637297118251076,0.1476880465741514
Pan-cancer,0.2249089102351772,0.30879449475748244
Pan-cancer,0.24445180523352103,0.27123326731761166
Pan-cancer,0.026498840675720437,0.13705446027538756
Pan-cancer,0.009274594236502154,0.11709967138399
Pan-cancer,0.03676714143756211,0.14241895153869882
Pan-cancer,0.4200066247101689,0.4086603397062546
Pan-cancer,0.037098376946008614,0.15755760840112676
Pan-cancer,0.012918184829413714,0.1192882819316404
Pan-cancer,0.055978800927459424,0.15973376180433663
Pan-cancer,0.008280887711162636,0.12242487607896678
Pan-cancer,0.02716131169261345,0.13957209166853332
Pan-cancer,0.012255713812520701,0.12704682786619675
Pan-cancer,0.08015899304405433,0.28441041776235376
Pan-cancer,0.06227227558794303,0.2047841402979191
Pan-cancer,0.5243458098708181,0.42435541333160387
Pan-cancer,0.05631003643590593,0.18753205907929904
Pan-cancer,0.033123550844650546,0.14020049765373638
Pan-cancer,0.2229214971844982,0.39748364238435235
Pan-cancer,0.2514077509108976,0.3747823669161003
Pan-cancer,0.18383570718781053,0.26612588216101435
Pan-cancer,0.0009937065253395165,0.11203998162225005
Pan-cancer,0.008943358728055647,0.119012949818059
Pan-cancer,0.04471679364027824,0.15850658381812646
Pan-cancer,0.01391189135475323,0.12508842641378587
Pan-cancer,0.06856575024842664,0.20838928723118544
Pan-cancer,0.02616760516727393,0.1317979352482829
Pan-cancer,0.004968532626697582,0.11724851187279837
Pan-cancer,0.47631666114607485,0.4018376608129204
Pan-cancer,0.004306061609804571,0.11709419348655795
Pan-cancer,0.0033123550844650546,0.11918968805499577
Pan-cancer,0.03179860881086453,0.1385990390312318
Pan-cancer,0.3411725736999006,0.3760643962566427
Pan-cancer,0.0059622391520370984,0.11293392711820675
Pan-cancer,0.001987413050679033,0.11944940927179175
Pan-cancer,0.12553825770122556,0.27326018134825647
Pan-cancer,0.11228883736336535,0.33281127996324733
Pan-cancer,0.09837694600861212,0.22298582990044352
Pan-cancer,0.003974826101358066,0.12162278171774143
Pan-cancer,0.014905597880092747,0.1272925067065957
Pan-cancer,0.05763497846969195,0.17797534609818136
Pan-cancer,0.017224246439218285,0.1201087696707882
Pan-cancer,0.00364359059291156,0.1133665100697348
Pan-cancer,0.006624710168930109,0.1153260119283498
Pan-cancer,0.02186154355746936,0.1245947278387515
Pan-cancer,0.02285525008280888,0.1327351283426068
Pan-cancer,0.19311030142431268,0.3675163252226441
Pan-cancer,0.18482941371315004,0.25670466636224404
Pan-cancer,0.2961245445511759,0.35288246407074936
Pan-cancer,0.38588936734017887,0.31749564830210014
Pan-cancer,0.040079496522027164,0.1623027785532721
Pan-cancer,0.06260351109638954,0.17802576065659054
Pan-cancer,0.13017555481947665,0.2470333003920171
Pan-cancer,0.00728718118582312,0.12083146917571849
Pan-cancer,0.3279231533620404,0.38779437307931397
Pan-cancer,0.010268300761841669,0.12173134210234703
Pan-cancer,0.17820470354421994,0.3139816677490407
Pan-cancer,0.0907585293143425,0.2398144612676425
Pan-cancer,0.01689301093077178,0.1389420908941589
Pan-cancer,0.04074196753892017,0.15355027667487214
Pan-cancer,0.05862868499503147,0.16457261987960436
Pan-cancer,0.6535276581649553,0.5256168656397877
Pan-cancer,0.06558463067240808,0.16318077746503182
Pan-cancer,0.34746604836038425,0.36418817518880314
Pan-cancer,0.3209672076846638,0.3635798260745914
Pan-cancer,0.4991719112288837,0.48774976438970113
Pan-cancer,0.4127194435243458,0.4198970877405749
Pan-cancer,0.022192779065915866,0.1314873589875654
Pan-cancer,0.019211659489897316,0.12305908655792021
Pan-cancer,0.029811195760185493,0.13569772199978591
Pan-cancer,0.050016561775422325,0.16004477804976927
Pan-cancer,0.006955945677376615,0.11022437794792665
Pan-cancer,0.016230539913878766,0.1261466428306871
Pan-cancer,0.152037098376946,0.30233020125985804
Pan-cancer,0.021530308049022857,0.12817867702742736
Pan-cancer,0.023517721099701887,0.12485213709913472
Pan-cancer,0.041073203047366676,0.15974768587254518
Pan-cancer,0.048691619741636306,0.16072387720329007
Pan-cancer,0.05564756541901292,0.1912184430448708
Pan-cancer,0.05399138787678039,0.2008164126795779
Pan-cancer,0.08181517058628685,0.19454471740990145
Pan-cancer,0.006293474660483604,0.12433501961191834
Pan-cancer,0.017886717456111294,0.11460940694862443
Pan-cancer,0.2312023848956608,0.33974836859085805
Pan-cancer,0.056641271944352437,0.15273029649171505
Pan-cancer,0.049022855250082806,0.17599266998985877
Pan-cancer,0.14176879761510433,0.31719339943787705
Pan-cancer,0.4783040741967539,0.47491690893210053
Pan-cancer,0.671745611129513,0.3856778561026468
Pan-cancer,0.14110632659821132,0.27052422240154445
Pan-cancer,0.12785690626035112,0.2930840064685655
Pan-cancer,0.014243126863199736,0.12219547225848734
Pan-cancer,0.5736999006293475,0.3820769470204341
Pan-cancer,0.45743623716462406,0.41973101006466934
Pan-cancer,0.03742961245445512,0.1482373315292873
Pan-cancer,0.034117257369990064,0.1398680775087694
Pan-cancer,0.009937065253395164,0.12219875706837571
Pan-cancer,0.5435574693607155,0.427372154757469
Pan-cancer,0.0483603842331898,0.1818851263785208
Pan-cancer,0.11692613448161643,0.2773631757468811
Pan-cancer,0.025836369658827428,0.1345869052214703
Pan-cancer,0.0029811195760185492,0.11377371465124285
Pan-cancer,0.06955945677376615,0.24682361132274483
Pan-cancer,0.21000331235508446,0.3024965648830744
Pan-cancer,0.020205366015236835,0.1294786857297876
Pan-cancer,0.03080490228552501,0.13675447770508184
Pan-cancer,0.05332891685988738,0.1607897378640572
Pan-cancer,0.015568068896985757,0.13571889479894234
Pan-cancer,0.48327260682345147,0.30682027441381154
Pan-cancer,0.04769791321629679,0.1855004979256232
Pan-cancer,0.01987413050679033,0.1308988840474218
Pan-cancer,0.39549519708512754,0.4071275949035416
Pan-cancer,0.5266644584299437,0.4022509374948307
Pan-cancer,0.41404438555813183,0.36622097603717585
Pan-cancer,0.048029148724743294,0.15854180074059432
Pan-cancer,0.01159324279562769,0.11550521055696868
Pan-cancer,0.06823451473998013,0.1916635182749012
Pan-cancer,0.11758860549850944,0.2983360457915169
Pan-cancer,0.33852268963232857,0.2614362144416654
Pan-cancer,0.39350778403444847,0.4171534321534344
Pan-cancer,0.012586949320967208,0.11519890250063629
Pan-cancer,0.0546538588936734,0.16369122613011655
Pan-cancer,0.03378602186154356,0.14001639095014623
