,Beta
cg09685500,0.028158828345661586
cg11347311,0.028615983444105385
cg21182454,0.029067678641031717
cg13635462,0.014652681569767295
cg04078321,0.03410872458093208
cg18129198,0.02265122234936797
cg15579587,0.024852732738888418
cg11899891,0.029372389681820158
cg17041152,0.02752343166841239
cg26135506,0.03243933162232879
cg06046430,0.032882273128692185
cg10226628,0.015081253967060778
cg26313647,0.025635015465690605
cg18023951,0.019878072649966955
cg26864834,0.025191610577699277
cg23504634,0.030015135875736607
cg15556553,0.016998888524682895
cg10397063,0.015533002858024674
cg11831981,0.02200899381251905
cg13386712,0.030968672835791976
cg27479693,0.0140641335130014
cg10313637,0.017227768079395005
cg10533351,0.02269081683001418
cg20554312,0.018316692818660017
cg01836441,0.028353579229372643
cg09260158,0.016519738189513668
cg18630857,0.03037946728800424
cg07151644,0.02062058239794129
cg00400632,0.022876361818015077
cg03364076,0.01784713769292434
cg12618546,0.01903019451814005
cg18940113,0.023162270955830434
cg00065921,0.019924408144162013
cg11032268,0.0281062899374656
cg19888535,0.02640884441063507
cg18655657,0.024221392681197055
cg24786498,0.02540444857380415
cg07134254,0.02869649204601994
cg04264417,0.02631757154083011
cg07771338,0.02434921126860752
cg13277983,0.02765021505612135
cg26396455,0.013784389079970196
cg20516074,0.01722059319482344
cg08542227,0.011406083811736044
cg15135914,0.015462043063039796
cg03806095,0.028809813797611834
cg15673240,0.02750639007576161
cg25057861,0.01951946177805989
cg06252382,0.020437733091298038
cg04212338,0.016094348203715924
cg25283577,0.01551039004116723
cg14127347,0.024188087518790046
cg21497043,0.02453149050545429
cg13212400,0.023084658016027333
cg21533727,0.023891578685550325
cg24037381,0.028797540677124207
cg06067032,0.021015064470268158
cg07898651,0.024657293418775005
cg16343696,0.03263040009575086
cg01995078,0.011478918079021157
cg15739389,0.020407736843653154
cg01276938,0.027525087551523872
cg01077102,0.01621278943927201
cg27133713,0.023035427266952173
cg19099850,0.024557272483193955
cg08440162,0.02906243913971004
cg12249728,0.026184215599503763
cg09122799,0.022059495404117342
cg16671114,0.013829508189986734
cg09351254,0.032530280776258164
cg21048501,0.02606168419435343
cg22409854,0.01961343687988386
cg10064886,0.013933308415922203
cg22288101,0.034576416643316066
cg13008879,0.011481029426342654
cg08055667,0.01952257646414115
cg14583869,0.026376104240182635
cg09802835,0.027981063647694777
cg11517045,0.024976961732215416
cg08567382,0.01555966258284896
cg14136506,0.026803955880261018
cg24482724,0.03358283832138969
cg04854568,0.030486951245877955
cg27591053,0.02918895426133042
cg21539371,0.01985396269871825
cg22730042,0.023326722178897842
cg06066568,0.025435683797610447
cg21757774,0.0280023504975889
cg17868920,0.03344622393700155
cg01716223,0.0279451284509724
cg19894331,0.019367570341169687
cg22352029,0.01846775923960527
cg27368511,0.0305006706319064
cg05692319,0.025880917521821884
cg26251401,0.030051237668043025
cg04726800,0.021001719090533878
cg00982167,0.02847196317522532
cg06973293,0.015355674113464893
cg02247823,0.03238837263483195
cg03286967,0.028416877346256395
cg13788301,0.024493227832328407
cg07077209,0.01562579444056383
cg08554295,0.022053760838963002
cg19039340,0.029570117804381433
cg02899939,0.024428161753690277
cg17137182,0.025387912263066012
cg10398408,0.025930987727382858
cg13668652,0.021709889394328236
cg25130993,0.02852885611959036
cg03132089,0.0185802858400635
cg05267623,0.022617520907972602
cg06299568,0.02458413285708609
cg22967329,0.019411377931408624
cg12818067,0.01608967029986919
cg19631443,0.01823275715473978
cg24051276,0.013747676141769152
cg01581637,0.016349963646062116
cg10612867,0.015178669241027157
cg11751927,0.014614919973856427
cg15181248,0.020895009281369704
cg20632873,0.015866309756549478
cg19402405,0.03031915581042112
cg24818434,0.02896751017937439
cg07270078,0.02509914888093091
cg23159296,0.014336970457963609
cg06957329,0.024218400271407117
cg13033626,0.02276994568301713
cg07776087,0.02944252967898382
cg10535786,0.019084345893250768
cg08033284,0.027987863281684087
cg06458554,0.020351650348518602
cg13738140,0.02557099573249231
cg09619475,0.028579148918381213
cg16724319,0.02563923142313251
cg13445126,0.024136557860937654
cg04152460,0.02007515528413536
cg00495515,0.011743502783397823
cg26078244,0.015740991560802917
cg01859739,0.013733166334665946
cg13658921,0.01918361528902812
cg14220023,0.030693300721191988
cg06818786,0.03183277550367192
cg01794711,0.026326842264342683
cg18712727,0.014944428490058293
cg03818977,0.018906113586133293
cg08489941,0.02687894882088763
cg03323292,0.024431990369500167
cg18899730,0.018927544452041794
cg02702524,0.01875073348774981
cg03470396,0.016914555927487973
cg14283569,0.022517204055468195
cg08690200,0.013029008538638115
cg02199589,0.02127620582788017
cg19173440,0.019106199531165945
cg23142396,0.028892311389486273
cg01925962,0.020705381797254143
cg27063607,0.03035818914669218
cg10706034,0.021356899621787193
cg17623341,0.027850406949930916
cg24093178,0.03433632384621832
cg02550027,0.03114602345930657
cg11246695,0.016164535914917726
cg27409650,0.01965942139718227
cg27615432,0.023270232471177946
cg14059729,0.02243295799154742
cg08586541,0.01714026492095988
cg15060929,0.021511035941399588
cg00944502,0.017723928983005965
cg13057891,0.02418672402758086
cg10158711,0.013854548511514662
cg23235297,0.013147437656231381
cg07377675,0.021456653287326183
cg09335321,0.022121192404054576
cg25538051,0.023559044903784444
cg08424639,0.013531676232938456
cg13374688,0.015399699194182808
cg08587415,0.024890806968866187
cg12665951,0.020474101036365103
cg21646557,0.029235961371195718
cg01869826,0.03206418872605914
cg20536512,0.01782424343300994
cg13529726,0.01960071184749839
cg25726414,0.01946936875540527
cg20456276,0.012901129964933478
cg03958208,0.021466289517046887
cg18712672,0.016294813749355146
cg04645049,0.0160765886384553
cg14580600,0.02488039678815162
cg07998290,0.013715769145837567
cg25745663,0.01585743512086715
cg24325204,0.022699552342977707
cg07351084,0.038087089963032186
cg16718445,0.01867856999024611
cg11081185,0.015473269279877055
cg05643503,0.03087089979122585
cg08372297,0.02438219499043014
cg20136444,0.01888130617657348
cg22019999,0.022027385001543845
