probe,closestTSSstrand,distTSS,closestTSSgene,closestTSSpos
cg16729495,+,-57,SNX15,64794910
cg24529230,+,199,NUDC,27248233
cg16056465,-,98,IMMP2L,111202548
cg09419486,-,-57,ANXA2,60690185
cg21844316,-,26680,TXN2,36877687
cg08178035,+,-122,LRRC23,7013985
cg02755475,+,195,PSKH1,67927156
cg07723855,-,5366,NDUFC1,140222364
cg26910594,+,-52,IER3-AS1,30710739
cg02691685,+,-201,KMT5C,55851243
cg07319722,-,8,HEATR1,236767816
cg06720424,-,172,UIMC1,176433443
cg17216478,-,89,ECE1,21616708
cg14434408,+,126,ZNF407,72265105
cg02792677,+,0,MRPL4,10362626
cg11969913,-,-172,FKBP7,179343327
cg10564492,+,-179,CHPF2,150929568
cg03897897,+,48,CDCA2,25316446
cg24102601,-,-100,NAA25,112546587
cg13049881,-,403,RFX7,56536077
cg02493904,+,33,AMDHD2,2570371
cg20579065,-,-33,PPP1R3E,23772068
cg06809458,-,83,TNIP1,150460595
cg21575584,+,11,RPL36,5690305
cg24875840,+,-201,SLC30A9,41992546
cg04905789,-,-71,RAD18,9005156
cg00624834,+,-206,CNDP2,72163597
cg07116314,+,-63,COX20,244998607
cg14550653,-,-155,MCM3,52149540
cg24826892,-,49,DHCR7,71159439
cg22311507,+,-750,MYCN,16080671
cg21820923,-,-27,C15orf40,83680391
cg26567712,+,-41,CCDC124,18043823
cg26380756,-,-206,JOSD1,39096948
cg24116222,+,-16,ZNF672,249132422
cg04349673,-,-67,RALGAPA1,36278501
cg09181339,+,-303,SLC7A6,68298428
cg23214606,+,-50,TMEM183A,202976501
cg13196826,-,52,SLIT1,98945716
cg07441272,-,-191,RPL39L,186857284
cg18581762,+,-5,SLC36A1,150827163
cg01050704,-,-55,MZF1,59084940
cg04668252,+,-28,SMCR8,18218606
cg17573068,+,-145,CNIH2,66045645
cg13724160,-,-29,GRIN3A,104500929
cg03079208,-,65,AFF1-AS1,87856002
cg04320405,+,45,MKLN1,131012634
cg10650870,+,799,TNPO1,72143965
cg07463429,+,-97,RAB3IP,70133160
cg26946978,+,-33014,PLCG2,81812895
cg14247055,-,-568,RAB28,13485964
cg27485194,-,-337,RNF19A,101322181
cg00145177,+,-35,NAT8L,2061053
cg13901526,+,722,GYPC,127413733
cg16789104,-,-201,SKAP1,46507576
cg13404421,+,-746,CCND2,4382927
cg03316174,+,0,TMX2-CTNND1,57479994
cg25522149,-,358,DOCK6,11373200
cg05010179,-,-626,CYP1A1,75017869
cg02438054,+,-430,FEM1A,4791745
cg10779801,-,-117,RIOX2,97691275
cg19806021,-,-177,GBAP1,155197325
cg02478520,-,-114,GFOD2,67753219
cg05949034,-,-217,HNRNPD,83295144
cg20581322,+,388,CCNDBP1,43477600
cg19827167,+,-181,MIR760,94312387
cg10366010,-,-69,ZNF599,35264120
cg27225443,+,-326,GMCL1,70056791
cg25970266,+,-121,CSK,75074420
cg03580876,+,64,TRMU,46731610
cg19631064,-,209,ANKRD18DP,197807564
cg25593258,+,-10,ATP2A2,110719051
cg08526814,-,-49,DNTTIP2,94344762
cg18308527,-,614,UBP1,33481897
