id,chr,start,end,-log10p,log2FC
chr1:91190489-91192804,chr1,90724932,90727247,132.38206584863354,1.5480030624028402
chr1:230561103-230562702,chr1,230425357,230426956,9.767103396620023,0.47074548408704286
chr1:5937157-5937392,chr1,5877097,5877332,0.38358889410861047,0.05135272923262867
chr1:166958220-166958683,chr1,166988983,166989446,1.1755554023466113,0.04455836706678876
chr1:43832814-43833073,chr1,43367143,43367402,0.05912129025764118,-1.177804097591121
chr1:200011400-200012055,chr1,200042272,200042927,18.693161071178682,1.409742221006437
chr1:20960045-20960551,chr1,20633552,20634058,0.26506537177904294,-0.3266672583147975
chr1:1267435-1268986,chr1,1332055,1333606,8.886203673697697,-0.08719639973915642
chr1:169396621-169396869,chr1,169427383,169427631,10.24820932411313,2.7831494620444186
chr1:223566642-223567268,chr1,223393300,223393926,10.84138417589327,0.6038286354188953
chr1:57887963-57890637,chr1,57422291,57424965,149.8280075884343,1.9512548495726394
chr1:151319326-151319545,chr1,151346850,151347069,1.887301029854895,1.5043871118221819
chr1:10757891-10758252,chr1,10697834,10698195,1.1183445087372763,-0.023784849893304094
chr1:12600347-12600556,chr1,12540321,12540530,20.006856659372122,0.4759229717715193
chr1:45082739-45083285,chr1,44617067,44617613,0.0967537505106186,0.02809443939986734
chr1:17006742-17007151,chr1,16680247,16680656,4.363563113174208,0.31543518836479406
chr1:34628783-34630976,chr1,34163182,34165375,89.56749190511403,1.632554755040471
chr1:154474107-154475699,chr1,154501631,154503223,103.62902083873256,1.3635370538678397
chr1:160340604-160340843,chr1,160370814,160371053,2.489337894061611,0.08662442520250792
chr1:33741774-33742381,chr1,33276173,33276780,0.9267188879842742,0.02386996138590488
chr1:43996724-43997592,chr1,43531053,43531921,1.347701501749955,0.2141460983303019
chr1:1839958-1840601,chr1,1908519,1909162,0.5064881278412132,0.02451108402789954
chr1:205179963-205180910,chr1,205210835,205211782,1.0793058405609488,0.2637073288627035
chr1:153755957-153756335,chr1,153783481,153783859,0.7436923580974943,-0.6725901109882798
chr1:179711947-179713951,chr1,179742812,179744816,60.70163191093937,0.7509378879344355
chr1:156814881-156815792,chr1,156845089,156846000,43.64364212321847,1.1865453041997132
chr1:207082693-207083202,chr1,206909348,206909857,12.547198503062194,1.0003693120264465
chr1:53925191-53926228,chr1,53459518,53460555,0.9429067854557341,-0.004931611494703323
chr1:52344178-52344939,chr1,51878506,51879267,1.2615351839156839,0.502085150883124
chr1:45965586-45966049,chr1,45499914,45500377,0.23098288507055245,-1.4026911432028055
chr1:109656095-109656611,chr1,109113473,109113989,18.157855556596147,1.3278218091162364
chr1:50881884-50882103,chr1,50416212,50416431,17.512995322844073,1.717984419515755
chr1:65613041-65614898,chr1,65147358,65149215,1.2120420322394092,-0.37074050550497695
chr1:45476225-45477022,chr1,45010553,45011350,3.5497391025086356,-0.3528744073224733
chr1:91183240-91184540,chr1,90717683,90718983,83.02660080463208,1.548423924136767
chr1:9258565-9258956,chr1,9198506,9198897,6.6408004965409395,0.544549759980997
chr1:152487978-152488270,chr1,152515502,152515794,2.6645319509900003,0.768985933237651
chr1:227922643-227923431,chr1,227734942,227735730,0.010620159966869058,-0.36136664689492803
chr1:38229838-38230888,chr1,37764166,37765216,32.365346446766885,1.1340054643304447
chr1:1935166-1935452,chr1,2003727,2004013,30.139062137797662,1.9989500344974573
chr1:6511689-6512110,chr1,6451629,6452050,6.438506085770385,-0.17005891448238344
chr1:44031286-44031853,chr1,43565615,43566182,2.684533607158295,0.5615389973697948
chr1:44440142-44441256,chr1,43974470,43975584,0.652710004354119,-1.4631032724533073
chr1:41483418-41483693,chr1,41017746,41018021,1.0357296169749903,0.02926464595781986
chr1:113249342-113250198,chr1,112706720,112707576,8.718438495514464,1.4141467838282622
chr1:2333550-2334172,chr1,2402111,2402733,0.3066509130043741,0.010096427559372843
chr1:149719314-149719640,chr1,149747764,149748090,3.5429510005060316,1.9307858901121295
chr1:2706025-2706961,chr1,2789460,2790396,103.81374769506982,1.5580577036875727
chr1:28655365-28655667,chr1,28328854,28329156,1.441885121845629,-0.1742333882960347
chr1:26487807-26488606,chr1,26161316,26162115,5.082775473106738,0.6410257915398374
chr1:231113871-231114873,chr1,230978125,230979127,0.1782706297117134,-0.2233279842709009
chr1:7887198-7887476,chr1,7827138,7827416,19.25537621370436,-0.4439559956665707
chr1:212688031-212688448,chr1,212514689,212515106,14.27547592254759,0.6343244050472407
chr1:84971344-84972491,chr1,84505661,84506808,0.5991966484751902,-0.2692201891934777
chr1:54203402-54205310,chr1,53737729,53739637,47.09219803505386,1.4088465813898656
chr1:244211034-244212088,chr1,244047732,244048786,1.0632008819378016,0.1516261353476704
chr1:86081700-86082068,chr1,85616017,85616385,119.27775033946169,1.2894347339636798
chr1:48174494-48176519,chr1,47708822,47710847,26.240993661246154,0.6611853492511037
chr1:231376796-231377243,chr1,231241050,231241497,0.09003661267802297,-0.2712429808122536
chr1:205743900-205744668,chr1,205774772,205775540,1.1710422818206248,-0.075659747577069
chr1:44871109-44874047,chr1,44405437,44408375,0.41347070611205977,-0.31729230681727544
chr1:19970255-19971923,chr1,19643761,19645429,8.727823412941483,0.6278587429779813
chr1:2445355-2445648,chr1,2513916,2514209,0.07276595752480494,0.025373347520240837
chr1:145589135-145589535,chr1,145845532,145845932,0.09970560787629824,-0.46915404807054023
chr1:2144199-2144497,chr1,2212760,2213058,0.0922044607803507,-0.470142098719298
chr1:200116696-200117204,chr1,200147568,200148076,0.3363573170653124,0.010034931073952003
chr1:33358469-33359449,chr1,32892868,32893848,29.284940141484714,1.5077448691866233
chr1:160053721-160054738,chr1,160083931,160084948,6.10691140242391,0.21127985457483622
chr1:222638761-222638973,chr1,222465419,222465631,0.5090368598969099,0.2458025770371546
chr1:2918497-2918753,chr1,3001933,3002189,0.8322962924335686,0.014303230278298412
chr1:6268820-6269588,chr1,6208760,6209528,26.049391764399573,1.3678027199918805
chr1:3147845-3148081,chr1,3231281,3231517,0.1692933270052557,0.015905233662808434
chr1:146643470-146644501,chr1,147171891,147172922,1.4323313530838293,-0.28820161709940023
chr1:145507588-145507931,chr1,145927161,145927504,0.008313130216955891,-0.20000184406880134
chr1:17306551-17307363,chr1,16980056,16980868,6.305079323094627,0.7941290692887188
chr1:109234788-109235161,chr1,108692166,108692539,0.796210431783661,0.1448347866107812
chr1:3703672-3703908,chr1,3787108,3787344,1.2793364036105153,-0.03488441662127894
chr1:2304159-2304376,chr1,2372720,2372937,0.69700230598074,-0.019545747258278373
chr1:28562510-28562976,chr1,28235999,28236465,0.1046433968386692,-0.7085252960688755
chr1:99126872-99127711,chr1,98661316,98662155,23.16874337146584,1.4506270990109251
chr1:155278407-155278743,chr1,155308616,155308952,0.2520200411017809,0.0024506182419842784
chr1:224803637-224805314,chr1,224615935,224617612,37.497139070372754,1.4029812375423594
chr1:229567206-229570684,chr1,229431459,229434937,201.52333724615266,1.3908967958877212
chr1:25255527-25259005,chr1,24929036,24932514,2.4018624245817355,0.12089042783045242
chr1:31538412-31538938,chr1,31065565,31066091,0.24928619271173544,-0.38476443868195437
chr1:228269729-228271501,chr1,228082028,228083800,0.15715638658336237,-0.6696725256334588
chr1:29557220-29557627,chr1,29230708,29231115,0.18567945887822263,-1.0585202870382002
chr1:112162204-112162837,chr1,111619582,111620215,0.08181817324310736,0.10762768111055132
chr1:40149431-40150013,chr1,39683759,39684341,41.00322368021514,1.1323615961051148
chr1:245851177-245852514,chr1,245687875,245689212,78.06525016724953,0.5418479656114602
chr1:151812253-151812525,chr1,151839777,151840049,4.388633626272871,0.5972408304995924
chr1:150254365-150254637,chr1,150281954,150282226,2.972894498154535,1.2886085949252313
chr1:25572966-25574521,chr1,25246475,25248030,0.5710165245635294,-0.03222890286443614
chr1:145208944-145210075,chr1,146228089,146229200,0.016395391084878398,-0.032271818739003595
chr1:36614855-36615462,chr1,36149254,36149861,0.6468910283606731,-1.2399506862908065
chr1:249167408-249168010,chr1,248873209,248873811,1.1516778269036105,-0.024614402764724277
chr1:33366792-33367002,chr1,32901191,32901401,1.6266977018595092,0.09775933013000465
chr1:153963227-153963510,chr1,153990751,153991034,0.5549165756948278,-0.0044905357160404296
chr1:40366595-40368213,chr1,39900923,39902541,29.384491349004044,1.3428098554471273
chr1:1289707-1291126,chr1,1354327,1355746,30.082688050591646,0.873984393882542
chr1:52498452-52499505,chr1,52032780,52033833,3.4034232459686637,0.6567631751310012
chr1:151020162-151020627,chr1,151047686,151048151,2.0156021307789755,0.3628889851714181
chr1:46632689-46632932,chr1,46167017,46167260,2.9902632981067305,0.828122684162291
chr1:209957721-209958167,chr1,209784376,209784822,0.5676101093114428,0.053768876218020234
chr1:46016403-46016694,chr1,45550731,45551022,0.10479699542843662,-1.22796376701628
chr1:8021301-8022226,chr1,7961241,7962166,0.7033678115420489,-0.1956305863937597
chr1:171753416-171753629,chr1,171784276,171784489,0.025157073838050492,0.02741243359026678
chr1:235814280-235814488,chr1,235650980,235651188,11.409503208721505,1.3419697906668593
chr1:45271679-45272318,chr1,44806007,44806646,0.475775505192299,0.011472135604619483
chr1:67390468-67391109,chr1,66924785,66925426,1.8928250255255519,-1.0811770911703082
chr1:184005359-184006766,chr1,184036225,184037632,12.583240164589144,0.9380605150257967
chr1:146552328-146552577,chr1,147080779,147081028,16.56365805776644,2.0717852302054056
chr1:55505060-55506015,chr1,55039387,55040342,81.23066567864815,2.2446715172270326
chr1:43389835-43390551,chr1,42924164,42924880,1.0212270374984875,-0.19638834442175104
chr1:202317657-202318196,chr1,202348529,202349068,1.4383781718972115,-0.22570804372229286
chr1:66258440-66258918,chr1,65792757,65793235,23.628169702397773,1.7829007615201296
chr1:93645432-93646471,chr1,93179875,93180914,1.086993146588802,0.19088238948165256
chr1:231473012-231474382,chr1,231337266,231338636,1.4244735923077307,0.05682992097233235
chr1:149857769-149859470,chr1,149886219,149887920,4.410097893566922,-0.05435856079090021
chr1:3059050-3059268,chr1,3142486,3142704,1.1987251985207144,0.007612369750659962
chr1:2886589-2886923,chr1,2970024,2970358,4.013505927380673,-0.18662870933842676
chr1:15851106-15851581,chr1,15524611,15525086,0.23161248436102783,-0.2745491908966526
chr1:233121927-233122136,chr1,232986181,232986390,0.08348230053581422,0.03355318872568133
chr1:17292904-17293115,chr1,16966409,16966620,0.8370874350822176,0.03676610498926697
chr1:226270723-226271841,chr1,226083022,226084140,10.81899466829684,1.1903394591913572
chr1:53192023-53192428,chr1,52726351,52726756,1.0071884633306987,-0.19796816501382927
chr1:2415198-2415506,chr1,2483759,2484067,2.4712595937962085,-0.14032055896762963
chr1:6341136-6341412,chr1,6281076,6281352,0.1160836817777806,-0.044151503366924694
chr1:178511362-178512356,chr1,178542227,178543221,0.4487587982984132,-0.11628935848333373
chr1:237947187-237947448,chr1,237783887,237784148,5.203949099457974,-0.10376176167868494
