,B,CD4T,CD8T,Granulocyte,Monocyte
cg06730678,0.9795391932630741,0.9793944396724903,0.9782269918764934,0.9786656504756277,0.980015205685224
cg22354030,0.977035161552086,0.9774353107263389,0.976838009960878,0.9785263628282188,0.9782056655516636
cg00359511,0.9749013148689203,0.9763615749983968,0.9768211551629369,0.9763939048201676,0.976441460103543
cg13461718,0.9802855869834248,0.9798139997326824,0.9796918625334893,0.9813376223719475,0.9837635197129041
cg24378253,0.9811341368528982,0.9825700066738435,0.9825105493725055,0.982508256853364,0.9834780786455876
cg10147348,0.9788874963295717,0.9808454952369517,0.9808484926204982,0.9811024553801493,0.9812919815121823
cg10158633,0.9765127826072834,0.9773342843915824,0.9784945189105364,0.9787312790337249,0.9757501202910388
cg03559389,0.9770307154369899,0.9779513733720945,0.9771325610127387,0.9788885617561033,0.9797511509083341
cg11550862,0.9724872550597293,0.9753765402682789,0.9755842182146719,0.9750482834472602,0.9765590992285235
cg03855388,0.9588689888102223,0.9682058972282398,0.9679296715173109,0.9691961155622215,0.9686569094209434
cg16577247,0.9738916639330213,0.976448023248248,0.9755534411149965,0.975287735128946,0.9754823193510295
cg22262702,0.9750582797975209,0.9785513048798239,0.9774003619921231,0.976465333509805,0.9775321757059471
cg24015037,0.9776920078618313,0.9754851341711065,0.9772307460266879,0.9786506115610107,0.98149283621409
cg07747923,0.9841618236797214,0.9845536399671201,0.9851254348533706,0.9846996142590203,0.9853366891927193
cg16601444,0.9828541109771315,0.9820209118541016,0.982902934941108,0.9827340385165874,0.9839380306228424
cg01533689,0.9844521303415711,0.9856725756238232,0.9858241110090624,0.9851773919691433,0.9863904223011463
cg01250155,0.9788976170275536,0.9798563551143733,0.9799944863496723,0.9807222271464721,0.9811524209599528
cg00942241,0.9712807503943697,0.9723597762154936,0.9730609792979952,0.9731942012414436,0.9725626582652039
cg03465880,0.9860084034002438,0.9861592967716223,0.9863631121947884,0.9864769431504816,0.9876764778967914
cg27457427,0.9692122329615718,0.9731049971968508,0.970143889226683,0.9736533396505529,0.968804589083064
cg18878441,0.9854909018807579,0.9860824682639432,0.9793061935545582,0.9829547098443795,0.9835657927110815
cg21221840,0.9776122333999328,0.9777350651702343,0.9782990073389863,0.979247766907694,0.9797495410029227
