,GSM4849777,GSM4849805,GSM4849772,GSM4849800,GSM4849784,GSM4849812,GSM4849783,GSM4849811,GSM4849775,GSM4849779,GSM4849781,GSM4849809,GSM4849786,GSM4849807,GSM4849810,GSM4849814,GSM4849782,GSM4849803,GSM4849778,GSM4849806,GSM4849776,GSM4849804,GSM4849773,GSM4849801,GSM4849785,GSM4849813,GSM4849780,GSM4849808,GSM4849774,GSM4849802
cg22956956,0.042782936148185575,0.03341651010517571,0.12891812389180557,0.030116125158329857,0.10601939102976157,0.10230473700860263,0.027760345662853764,0.029104006893808657,0.028265363902290078,0.04575636423263893,0.04252916344129898,0.05930271591791881,0.0605673238125213,0.02911197466031845,0.026726768273105127,0.03748861248523714,0.029066664847755365,0.041458675060386654,0.028071767351795996,0.026909522496705356,0.031201249644172983,0.030228915110567862,0.024589459712794907,0.0305168164734177,0.03588318883663054,0.02945943756521738,0.028617414964675993,0.02461035286808247,0.03170970309283588,0.03864502442653611
cg04358131,0.014673452447730684,0.015565386173354219,0.9807066540335064,0.1281375791048735,0.9682585272420464,0.7475011226335732,0.012208625568883946,0.01539591279585396,0.017851327377800534,0.01665887855531888,0.016773213402167628,0.014020945032568769,0.0151211529044617,0.011913326414387845,0.012159935964379243,0.014474083135908025,0.01901008554645718,0.015983810911530387,0.010134400844540006,0.013259452234723426,0.014777655171296757,0.01773253515957757,0.01646703106149201,0.012419788183705413,0.015672144359749476,0.014797158220488113,0.012767173529738083,0.013046983735356368,0.01526575404400073,0.01635865691569863
cg10372121,0.021734458599187864,0.016288586010793457,0.5049737007049446,0.048424817842015376,0.7559266734772295,0.4051732577733474,0.01565241766427152,0.021062322112465077,0.018690347210740133,0.020758210188888387,0.019369653386594972,0.01718434915852316,0.018908798144809214,0.021160551183950566,0.015112075113029822,0.01602845113144277,0.025115615777540578,0.0199821079422037,0.019117636807421772,0.017251832355112382,0.017146776633688,0.01986810563381908,0.02170177121635901,0.01910970322881099,0.09682795709491103,0.0233237870888455,0.014660528910651102,0.016268231455414676,0.01462176597178994,0.020951919474738113
cg08027745,0.03766743632861414,0.017079539124900543,0.11989632300628736,0.03213217355519351,0.27489448655326465,0.09403125544443874,0.11754227046889376,0.0956673534639787,0.022748917627923738,0.027555667926086613,0.026806645287406186,0.024645168470588636,0.03065180743514503,0.021987006267399155,0.03382740379319771,0.027794776026866832,0.024427202322868595,0.02240164367117416,0.02911921347503225,0.026032104924001643,0.030180244501392253,0.03526839603274425,0.02389553818230114,0.023005701207693605,0.027118352575014274,0.024483876088303016,0.02064553568812621,0.01964032913950997,0.022654661147044838,0.018358039562077523
cg18094366,0.021805231900994416,0.019949388417418737,0.5960592134265568,0.09417541290122909,0.8708719891753731,0.1592844478552271,0.020525303071265485,0.022390125303916195,0.023275460522427325,0.0190840816546402,0.020744857891293912,0.015725318518965064,0.025732047417140722,0.01910882846298557,0.018413444294016226,0.019143196372985238,0.02191745022640752,0.02266393733401667,0.015152262101433321,0.019677784402176615,0.021509398204361454,0.02325653339814899,0.020857869132084317,0.023024378313401067,0.017218479923503963,0.01901931130278072,0.022672777032954238,0.018216953617703712,0.02009467599950789,0.02139448028221427
cg23963136,0.010823849221937147,0.011664741429076773,0.5677850336832403,0.1423481140893716,0.5883971021743436,0.0483703561610246,0.01849784607212644,0.013014809626565194,0.012694088445847677,0.012438769109738162,0.013152402554386433,0.009695899552347098,0.014128244872696405,0.011531873782938976,0.010434045158839054,0.010156149137823044,0.012255851797721524,0.012376203636813195,0.009534339291831005,0.010862259389816702,0.011163312126994453,0.012980080163592343,0.12881405739695967,0.011229834708265203,0.04737180449060246,0.07083499031103385,0.013470300110208694,0.011107955497447856,0.012369531046898575,0.012209809631174002
cg13450310,0.013269573908005351,0.17515866207580258,0.014663268770004559,0.012684370797703962,0.23186874245772818,0.009820461118955235,0.011755339042676963,0.01025664990651537,0.013097957211635298,0.012157091632043416,0.012510626372606635,0.00957960930002056,0.013147104337256342,0.011651103979733679,0.011061556941742103,0.011740001569092573,0.013400991485641455,0.01454176173147998,0.010968051758565285,0.010746449796651507,0.012382942060152072,0.014617243021931223,0.013892485060594956,0.012721220815484071,0.013150038200953456,0.012400977916765327,0.013022528494568237,0.011513060974933431,0.10866490282180599,0.01247389138396577
cg10534923,0.355556285319284,0.31488521197828045,0.07230239902893561,0.02726912542173486,0.5373777490081444,0.07206621492253898,0.021782288990230506,0.02139257710855302,0.01598494933769444,0.01602164296300378,0.020697166287650927,0.016054618319133705,0.016285650136669362,0.01436625207370884,0.01589901433909616,0.015636872409349304,0.015243370399397152,0.019902520487612558,0.018281267709247692,0.019462842742393047,0.020689645110739906,0.01584936407087129,0.020709387910005716,0.021266913167595908,0.013517738950210604,0.01750059690031407,0.013514081854762302,0.018127720949137862,0.031157113843830755,0.01498463131730574
cg02086858,0.2853651856074356,0.45361124161994887,0.29333831641678093,0.06669911447106414,0.9515369028916035,0.019315825220334436,0.024204298956653877,0.02330437137020098,0.025934758102960837,0.023996867399675458,0.023778007524072133,0.018167437824111423,0.024080392041158038,0.01894560813483464,0.023054509900782102,0.024080484443490806,0.029265544860708863,0.031067974486851217,0.0249016044913369,0.018434627590703835,0.031173278558936843,0.029913717746128225,0.03452978850614465,0.031589399588397925,0.026528270557578518,0.022760508747524437,0.022923316970446406,0.02545358148297777,0.02014618892960066,0.02669224896841936
cg21333861,0.37568221427955234,0.5489043913654104,0.022894202852443653,0.019936196870162966,0.9409001445956741,0.013659864375559615,0.014887424893379209,0.016891215408764704,0.023484995069169127,0.01773757705496802,0.014475313696585444,0.012721396470116171,0.017064035689080884,0.014038742785385614,0.015220903871459556,0.018789763963582874,0.01742182044818281,0.022809093985647923,0.018155467701668097,0.020221806192973518,0.020554102499685353,0.02285060552899979,0.021208874444889565,0.04527635601776422,0.02073512205389353,0.017301596307567127,0.01671355062643001,0.016092497060444,0.01671450165446598,0.014982068863362353
