,9704031036_R05C02,9704031016_R01C01,9704031036_R06C01,9704031036_R03C01,9769100165_R04C01,9721367080_R02C02,9721367080_R06C01,9704031022_R06C01,9769100107_R02C02,9769100165_R02C01,9769100165_R01C02,9704031022_R03C02,9704031022_R02C01,9721367080_R05C01,6929793134_R05C01,6929793134_R06C01,5773184018_R03C01,5773184018_R02C01,6929793133_R05C01,6929793133_R06C01,6929793134_R01C01,6929793134_R02C01,6929793133_R01C01,6929793133_R02C01,9704031036_R02C02,9721367080_R05C02,9704031022_R03C01,9704031016_R03C02,9704031036_R04C01,9704031036_R02C01,9769100151_R06C02,9769100042_R02C02,9769100124_R06C01,9769100025_R01C01,9769100025_R06C02,9769100151_R05C02,9769100107_R01C01,9769100151_R05C01,9769100151_R02C01,9769100165_R05C01,6929793133_R05C02,6929793133_R06C02,6929793133_R04C02,6929793133_R04C01,9769100165_R06C01,9721367080_R03C02,6929793133_R01C02,6929793133_R02C02,9769100151_R02C02,9769100134_R03C01,9704031036_R06C02,9769100165_R06C02,9704031036_R03C02,9721367078_R06C02,6929793133_R03C01,9769100107_R06C02,9721367080_R04C01,9704031022_R05C01,9721367078_R03C01,9704031036_R04C02,9721367080_R01C02,9769100151_R03C02,9704031022_R04C01,5773184018_R01C02,5998789035_R05C01,9704031036_R01C02,9704031036_R05C01,5773184018_R05C02,5998789035_R04C02,5773184018_R04C01,5773184018_R02C02,6929793134_R03C01,6929793134_R04C01,6929793133_R03C02,9704031022_R05C02,9704031016_R02C02,9769100134_R02C01,9769100107_R05C01,5773184018_R01C01,5773184018_R06C01
cg13264548,0.011470468164906053,0.009671735604728993,0.01637675089700928,0.026025154156528327,0.016693866670600663,0.01321260994260466,0.018089368142070218,0.01187236395706441,0.016185671502573246,0.014695795410419897,0.014815236096293032,0.0476241063174448,0.010973012833511656,0.012067843174232285,0.014891959967628503,0.008050146202798222,0.015315426238406458,0.01250720274420323,0.019857471444143213,0.008707683160906587,0.01487127820471078,0.012561115651868019,0.014439374688779854,0.01357456237580394,0.011104355732621519,0.011860972211901593,0.015547567493475472,0.015549670725867583,0.01313506985393784,0.01159715766861325,0.011560641807778103,0.017271588409642033,0.018215503247098124,0.154978041225266,0.01252987819549519,0.012229071954026128,0.01233156552656148,0.01297651735292738,0.022499766547363072,0.017359459193431584,0.014738061812668107,0.00870644939067832,0.018559673966307023,0.015611786123036545,0.015986885387651677,0.017002644756033036,0.017229478590871823,0.027695117937512694,0.01297654021626469,0.01374182451267932,0.02011303032472737,0.03728105240018981,0.01422493308884173,0.013055804067332059,0.021143120279289645,0.013115045718191075,0.01168605972625608,0.010786892228275648,0.012640456228620157,0.014411376656265183,0.011926330968475174,0.014142316766316724,0.015555997022094026,0.017398309250885445,0.014436263216450732,0.012407967513950778,0.01308391464528672,0.011710896326979862,0.01822051353603269,0.018594314273229693,0.02000258888197683,0.015133232194522454,0.01677328472696484,0.10657867983065737,0.0446768212212655,0.05336328514052175,0.022878356809011763,0.05269425921560579,0.014194291605936035,0.007579679562663571
cg22553289,0.01554252901524673,0.011443409428327347,0.0160103036215375,0.01411945474810788,0.016249973298611338,0.017856146328680884,0.015584553285701769,0.016522051909649883,0.016997607321075626,0.01584122986704856,0.016504662360590824,0.021867079815642395,0.016569838691352538,0.016808151677492444,0.014558391290975765,0.01140050798017662,0.017405255376645667,0.016802437370100443,0.016608704715603193,0.01021219767668558,0.016205030658921312,0.016052345839422968,0.01966761749538471,0.013786371130669115,0.01451740221626794,0.013913933953555826,0.017106021527252258,0.01633365010125246,0.015500767442769021,0.014867339149295809,0.016178060419774865,0.02474838100829128,0.03443770877335312,0.12288116200574187,0.018416233440852147,0.015980477949246025,0.019412158198739555,0.015576733212569839,0.01362038116686355,0.01579844407537144,0.01808998207516377,0.011091930435681005,0.014931330456452197,0.017813074881336776,0.01518859261483217,0.016281760909020847,0.01631605675068335,0.014556303942371914,0.01567275580994011,0.01586624634449746,0.013094138645036134,0.015465211933506464,0.015197573657659945,0.014547782836564771,0.015561884516742184,0.01749116202987453,0.017281899650494308,0.013826356698576778,0.013344168602718708,0.014186315684595373,0.01709761221315895,0.015162135794450648,0.016619922203263443,0.020396460451513828,0.016253013387473775,0.014517107066048108,0.012934239480254735,0.011598589315183401,0.020009551744248094,0.017341942868594737,0.016527685168925745,0.015299102941406578,0.017151212267421105,0.01632784039135127,0.014743587596231778,0.014455090515228789,0.01646052552239715,0.01581483779571558,0.018805546313196704,0.007850372343713032
cg08235500,0.016159751841062317,0.013160735735117779,0.017694968083725435,0.01451893898651145,0.01971994899808088,0.018129790617118263,0.0171701181905668,0.017692761331320025,0.01663003228353548,0.018964867331385707,0.018750813256010954,0.017937279933731485,0.016391799938345646,0.017643963991249102,0.012381096627019842,0.008943381036759318,0.016911521710259166,0.01579167730138551,0.012642080715292688,0.0073338030819866595,0.01751526091314853,0.01435873013372755,0.01825158798735689,0.01279723199435131,0.01468882668595621,0.019420482338311187,0.016740450959672665,0.017737636172152026,0.01596003484997278,0.0158025447223168,0.015534852678089274,0.03710433065349413,0.03722308533511644,0.5866430712637238,0.02826019712256938,0.017207166055841532,0.0186382802331055,0.016631683747360144,0.016672826132535574,0.01805854808526161,0.013372341557093137,0.008902621046917128,0.013339301880833451,0.012787334455050705,0.02003918619996944,0.016968795331860378,0.012638114820929408,0.011655497703160891,0.017239491753023934,0.018292594151947807,0.011382855832720471,0.01640159210925462,0.01642414177862273,0.018750383815561267,0.01377524576050303,0.018678409804131525,0.015796904238335657,0.018387152625075173,0.01420630593015256,0.01565746349173676,0.0181280159080428,0.014790005186172319,0.016004045740052673,0.01857187457722069,0.014120826019911869,0.015926517097773735,0.015670563845317825,0.011181483933622578,0.013980242277822824,0.014756786384090215,0.015179548568668919,0.01355818632819441,0.01249438450800945,0.012888001052343228,0.01749470086009345,0.017077892817378038,0.017178212206669645,0.01711765351951113,0.018228939896839075,0.011285139627785368
cg11071591,0.009570955585209292,0.0050223933576369435,0.01143433539144989,0.013711879688831625,0.011623890206890175,0.010655156519210115,0.012261556463768006,0.011427137972459377,0.0127818014231076,0.014750252378176875,0.013193546668286147,0.012249519793342052,0.011979988404679728,0.012177862246325031,0.013454163752343373,0.00876948376469987,0.01486446699053562,0.013827238509077447,0.013873748193224855,0.00910700979836577,0.013222337166667751,0.014364609634970073,0.01610511213045208,0.015068639482793945,0.009382527679958102,0.01047546173274864,0.015189222107759493,0.014887245772316532,0.011577848075561128,0.01057277845544443,0.012590552935362945,0.011464440401796413,0.013304976623764071,0.30144663353706613,0.011610300866963956,0.010163958143670628,0.009687440078528576,0.009556651575923772,0.013462902781613566,0.0143104987718409,0.013337851342658472,0.00856694702412989,0.014106799415073925,0.014164727408522162,0.012422366754069982,0.012655380358011272,0.012746908572246168,0.011397166079307675,0.011570507219800302,0.010750860822472308,0.01509873800476096,0.010701859812382572,0.009500416748068386,0.011537854262040152,0.013704275686184408,0.010672900002049575,0.011719814643759477,0.011644556675484228,0.010387622269848611,0.011552613892477236,0.009933302068209459,0.009616837139452024,0.010917492427164645,0.014940563030676191,0.012178561489909222,0.01080620736514611,0.011904618386669376,0.011328602986396768,0.021667852818620457,0.01695392628900753,0.016347290935232517,0.01573238174216242,0.014281515777853953,0.015227651294844945,0.010731861594014356,0.011894464509237276,0.017859495476842006,0.0203117846695637,0.014222044375986016,0.006921549467528685
cg05022363,0.026745361038075986,0.014974774340954726,0.030652227228949325,0.030795636482764885,0.02689512853792169,0.027558582868781732,0.04553752059633616,0.036317944307938985,0.0377639464411152,0.03673491539282143,0.03401047145466487,0.029301664224185304,0.027466035160038586,0.026035389727886254,0.025283380851565784,0.02613982844462079,0.027893122307949707,0.02433757016340859,0.031829455007591885,0.025193206354420034,0.031885633076214843,0.03780506122815145,0.020347510677616146,0.027696105297704825,0.027832994327102394,0.03467922921953413,0.04466361754653059,0.03829858994894765,0.03175425330812421,0.026718333851813204,0.032739052062089255,0.05043128832756612,0.06317132558046104,0.05396665760299644,0.04198162033635781,0.0324027825670858,0.03220980811651103,0.025329844601773493,0.02533365070906906,0.02708242349176606,0.028033845665517598,0.01520937566440387,0.02704701934868394,0.03010972171976555,0.028374177750451816,0.029293760759233078,0.02985605646656249,0.039938163099908254,0.030444354261345292,0.03222788305337173,0.0234766432408478,0.02727810980292576,0.024445325882699348,0.028911869820113206,0.025581410623808087,0.026200000519930735,0.025090739946067322,0.024694589758497924,0.026716081373172117,0.028032104378512154,0.026716985257783973,0.028546981798808335,0.028343837930510606,0.04668008187074638,0.06132004305908486,0.02275804348253777,0.021545624067951224,0.019642073849605673,0.029864131592428216,0.03315447403712538,0.027152803288328926,0.03159525806951734,0.0348823416711622,0.03214698157054923,0.024327010465484678,0.029157941542489945,0.027421388217141986,0.032894466039773536,0.026632803808040326,0.013337945784481364
cg01536011,0.03353545688650385,0.02753700610964667,0.03520457356542474,0.029089328050315725,0.037293095454160166,0.03123657446771479,0.03277946345103233,0.03458793699791279,0.035032981796712374,0.03936953920945953,0.037966448225834275,0.03209509999939817,0.04385922763342283,0.02975702755692985,0.01668323036338054,0.01097892193074647,0.02442322140873693,0.0221652803897441,0.01817755763942572,0.012819064583562214,0.02129770793366568,0.01994558093937767,0.019923824090701384,0.015661171706216462,0.03520209273237241,0.030599324628509273,0.032455939707826516,0.03278382843551821,0.026504841395514726,0.025776026305740246,0.022649737569987078,0.11415285734389585,0.1688776203675226,0.18089471954737021,0.22499133266963894,0.020350110303978382,0.024938302293673692,0.02885731971926191,0.03668710967121141,0.03575156762425731,0.016096809601040044,0.012930131014152642,0.0186584973892482,0.01705424149282149,0.03980483512563587,0.04036557944210995,0.01903473084340213,0.015381357357934342,0.0309893336845135,0.02656283699250399,0.0270980354219673,0.023257113720749723,0.02670600648811659,0.02669775499049465,0.018379938392958227,0.029532891204905314,0.04003166371272191,0.03702615085325161,0.023089290316279983,0.02318064326323465,0.026161419458571582,0.02704735138726243,0.03663463667878667,0.023625428372848596,0.02291491719299602,0.030207529125896138,0.03154476027293557,0.023077555590276994,0.021360187679858592,0.021838339368223554,0.021700421858746294,0.0182176557430011,0.016167072780886093,0.016532918119710062,0.03195619766357771,0.033409901451787065,0.031134315985218458,0.031198441022465735,0.029616421249806613,0.017858696775967766
cg21112148,0.01076711804175599,0.008424803397566542,0.010537759041686117,0.011654847579853307,0.013115546543681614,0.01164682756252243,0.013800329619403903,0.015296529461943853,0.013265615424861947,0.018700667951001733,0.015103753223865375,0.014286185994357166,0.01165748111824516,0.012758178414873343,0.012820770977077556,0.008378943407361205,0.017244903023410953,0.01632978218877933,0.01395639696060739,0.007704872787114484,0.013977277041214103,0.01301362227928209,0.01553266941130239,0.01349552588961311,0.014298690995914893,0.01170493639222341,0.011240226767427147,0.011525494164890107,0.010986669440419754,0.009087377333886768,0.011228973944786258,0.11145039445006942,0.13358580016339208,0.19775593258990048,0.14114435721546467,0.011280517269430117,0.013032886112168872,0.0115771443870078,0.015486797676230782,0.013062383103872827,0.014910498436854429,0.007292950218602329,0.011611142251711705,0.014105239134414716,0.012538318417986447,0.014178065340143705,0.020359626306383816,0.021243829407808994,0.011466189179843912,0.01177846625966868,0.012713919593754983,0.011304883296817949,0.011009664333537013,0.011967069620816013,0.014819397400637216,0.011074268644212275,0.014112062040572566,0.01287945511104887,0.00985715077914534,0.011351539642617859,0.012314006035280562,0.013274306637961586,0.014056042770019603,0.018012782785776168,0.015692904999851258,0.008693631541284637,0.012919650247784466,0.008949469413356365,0.016693122157837012,0.0159470478480323,0.018620918387360224,0.029439758254393867,0.02649010927747904,0.013273168925542285,0.013445814399113442,0.011952796768758114,0.012123743787685328,0.011019473144331715,0.018435997852062465,0.0075086011875537245
cg18956540,0.038233946268208474,0.018923042013311336,0.025685409142883697,0.02586441931455876,0.03200482963849456,0.026873893355260244,0.025749120771720528,0.024239563116921443,0.03135246365536777,0.03437239049659874,0.031152818866734832,0.027261551640558504,0.024907445749366538,0.0317796008249004,0.023032274168427475,0.011795830709178267,0.03042550810014021,0.028094084395730093,0.022055753062313742,0.012418018014307688,0.0282782215054237,0.019216293093421908,0.027029689626805114,0.02158229597877602,0.021901529240693322,0.027095617626247955,0.027320217445223845,0.029814729373619207,0.033567673782417526,0.026954260158162907,0.025991507467253375,0.15994248009093445,0.20662457986006896,0.15943923311342928,0.15634464589154215,0.02757877082970391,0.03065531986298439,0.03003101771087733,0.02542413331222295,0.028129895785916917,0.02078066198494625,0.012688716402104193,0.02336482565307863,0.021712350985985278,0.021256558233335214,0.019855442969351437,0.023541098211649566,0.025325619419716047,0.02511327806879848,0.036105878950077185,0.0229579641340356,0.029471127197947002,0.025969000705516478,0.021918985464150446,0.023168696084969926,0.021824657731642258,0.021634398748894158,0.0200810215416433,0.02203811518232707,0.028204030342005765,0.031946821268596035,0.025901734507910678,0.035119950764759725,0.029504217770805377,0.02533615273332943,0.023878358164962303,0.021379060831826315,0.01842631159084123,0.023132700904434124,0.029711991730328454,0.028977781132593226,0.022643526817662553,0.02020024620360911,0.022784950615855643,0.029058038121635137,0.030574590042681125,0.028098479765552,0.029436631144644926,0.032802904210658214,0.013664116247672053
cg23558158,0.018216791980478896,0.014639669103781148,0.017307269199639527,0.01901837168738832,0.019226370770597644,0.019574256742535174,0.020501275986949872,0.020032453069731983,0.02531821874631866,0.0210688694933219,0.02075797452275874,0.02086690976660878,0.02282364598821393,0.017119001854732977,0.014098018091910214,0.008937340236821923,0.019434981644951922,0.022096912043387835,0.015959068373921803,0.009300158684132915,0.018100080164241073,0.012899577254110511,0.015027781394527043,0.013441614220467833,0.01651437660923873,0.018305080074973248,0.021942247610893053,0.02007758171220563,0.016282539598998887,0.01636322894430278,0.014850113986217649,0.08091492250134641,0.10874891579456483,0.11563422445600446,0.05464704965748948,0.01572005097242346,0.017710014335491405,0.015502918790126401,0.019663432634910872,0.017415391475412875,0.014772224331490356,0.009552257832652086,0.012133096780160281,0.01515114238121513,0.019884797834803465,0.01989546120779149,0.014286439989372048,0.013893878263777719,0.0184305271988533,0.019706653656643654,0.01491091564366206,0.017346769605887425,0.015338243866437267,0.01942809584128366,0.0169083106544068,0.01856906862864687,0.02506587176619405,0.019665957724187926,0.014725438037625709,0.015557233818150898,0.016318844182371128,0.018638984654306464,0.023298784972115977,0.018343378086988386,0.01773456244960449,0.022853736098129823,0.013269543403379531,0.01567275428991663,0.01672500088352394,0.02102249709232993,0.018844298652480256,0.013691325832129599,0.01354917565909621,0.014860728932078739,0.02399141462044011,0.024304895609983793,0.018988328884019856,0.019474359846116153,0.019010990554072058,0.012862027707868873
cg02616975,0.018513923352096236,0.01397916648690863,0.018845659745664017,0.020428868400141482,0.022372513315389666,0.019287548502565765,0.022643169156828583,0.020814749900630033,0.02334377807592509,0.02387944257084763,0.02338827272986394,0.02371021261541875,0.019768753589000182,0.022465811463065838,0.019920579779963685,0.008866909975069002,0.01983007827227898,0.017917923274221818,0.017057240877827298,0.009381287497789723,0.017659053380871217,0.01755347060443519,0.026008347738718143,0.017534169636737516,0.020128163259507698,0.016337875875975644,0.0204548329919534,0.019838348600877635,0.016892746682722337,0.013799084286319884,0.0164544845747227,0.03581622379839253,0.04878414019473998,0.14091454788128616,0.13486986772289647,0.015397551844963062,0.018405317229863764,0.01739421202415181,0.02249063903133644,0.01848273417728461,0.01794374000904641,0.008453083205401382,0.021629516584022845,0.018010922082616832,0.022515832643309096,0.025101150266779414,0.020666156916995394,0.01843910539560004,0.017606660406721687,0.01809900490595515,0.021368951976578912,0.019656886804992026,0.022306064080970116,0.020688517848514023,0.019992065771216712,0.022632147742868574,0.019390277587211863,0.021363067627786708,0.02009465811337657,0.02328211570413195,0.014470028640132358,0.018156090490840042,0.021487308288295707,0.029579045910840804,0.016530691181844775,0.02097256570642639,0.0218372195030058,0.014631266260666518,0.016697308533311174,0.02122106830850372,0.02426101768520934,0.015049689664789461,0.01688667594202736,0.018731891539334564,0.030449860205842724,0.019200562581910354,0.01880386312299255,0.016543007849207893,0.02551779252706796,0.009732702099458422
