,GSM1203595,GSM1203596,GSM1203589,GSM1203727,GSM1203728,GSM1203866,GSM1203867,GSM1203825,GSM1203826,GSM1203775,GSM1203776,GSM1203816,GSM1203817,GSM1203843,GSM1203844,GSM1203581,GSM1203582,GSM1203630,GSM1203812,GSM1203813,GSM1203486,GSM1203487,GSM1203504,GSM1203505,GSM1203846,GSM1203847,GSM1203498,GSM1203499,GSM1203509,GSM1203510,GSM1203401,GSM1203402,GSM1203717,GSM1203718,GSM1203415,GSM1203416,GSM1203761,GSM1203762,GSM1203590,GSM1203631,GSM1203645,GSM1203646,GSM1203381,GSM1203382,GSM1203376,GSM1203377,GSM1203852,GSM1203853
cg01515913,0.02892484103567812,0.03224078603194721,0.03171946542595089,0.03979880529696605,0.0433210154294959,0.03133339946153888,0.02877787145218626,0.12485300088942182,0.024196758527763398,0.03498758956520852,0.03539363218271374,0.027861593564252288,0.03191719675832984,0.03329619483220537,0.030895694973907914,0.02607878450536423,0.049029470921511,0.021181382369453074,0.07061879882387907,0.043459989191927284,0.020136585329972395,0.019426364040441634,0.03725232389635937,0.039211451284081184,0.14270177240169377,0.021652964614167717,0.2983845695318974,0.03128200007747256,0.01812029850844498,0.03354324813297061,0.028193058074053486,0.029980437845064822,0.03512829077976924,0.04427954313467601,0.03671301732081148,0.0432070173220215,0.042060992431543175,0.05995969198417496,0.028298487733518854,0.03494418951235021,0.2728925383854043,0.04933870724134195,0.025038680373499975,0.023786482262592997,0.047572403084021206,0.024263220757324136,0.0246101077911645,0.027085847150346183
cg16192717,0.021932182918166655,0.020530656525038108,0.10258437149638415,0.034377668694060046,0.04088986267985958,0.027976557435729542,0.03623283772130967,0.02712364169287184,0.035654236913101524,0.03760884675085337,0.02492196065751256,0.0476423817061679,0.03169952418011543,0.034058605139667804,0.03745757048640151,0.021880876726661495,0.025818652932134617,0.018669098575897308,0.06489659417175969,0.04303445068172499,0.019310657133051433,0.017466003477334773,0.03176787815521678,0.030108317796998203,0.0313988201556069,0.03362137590694176,0.04424432939255395,0.11430503741170432,0.019460393240908626,0.02511794552747534,0.039404449221726714,0.03247765056570915,0.027871191275191977,0.03389257160786434,0.048711399998616296,0.033249200317730106,0.05944919889828317,0.13013409223223346,0.038312950960706346,0.0211465114442982,0.3912177929645262,0.04530160497052197,0.03495397917959451,0.03458848055554386,0.04542231163718676,0.14423971191031476,0.02988676123453697,0.02677064931510886
cg00564141,0.01670241449997342,0.023512845206082073,0.020249596884538555,0.056442518538337476,0.021076960935888202,0.024666584433840903,0.024762402717434052,0.020543658121281238,0.024804456585181968,0.02295103490477231,0.02833118227759944,0.13329425631233702,0.026364513133983147,0.02151135976102969,0.020240339764245507,0.016318283181969286,0.015159359731919526,0.021424089055432468,0.023004327966574253,0.020142070925641613,0.012049669068690075,0.014992900128260113,0.016963428629444895,0.020558146668595612,0.02747890055727077,0.02878535364246568,0.02223327325660147,0.02210091579867055,0.017548288524606187,0.019210707756658257,0.019599557607133822,0.023038418053579784,0.022791846046823577,0.019380733266978672,0.026478049362098462,0.027268564247755762,0.02106807757324266,0.03170406737759212,0.021880526796627896,0.05677553184246746,0.21108932861197074,0.022971661837400504,0.019258458790159087,0.021913242932540024,0.024051683322098002,0.01585584594618369,0.01979789319964103,0.020733053986304692
cg18356760,0.014738819394574892,0.01572338478451999,0.016197767228337642,0.019749793498368896,0.01867625509991589,0.017080082499528387,0.01772031905598134,0.015286605840217102,0.018554730824096297,0.018067573142914687,0.02005496300165829,0.0165720968789089,0.0158419934918726,0.020196783450171157,0.019327631614090197,0.01158177462607198,0.012771633808009022,0.014614854970621446,0.014712307114411072,0.016621638247120853,0.04722930102255208,0.38180937692859734,0.01604678927401145,0.016408371218010073,0.01780545012456903,0.01844606931125402,0.02477515504441925,0.4167750858959892,0.017995466842376125,0.01583365313288997,0.01770393920076256,0.018014719819609917,0.018078396393489838,0.020223256332054265,0.01537671371631567,0.02003047472793093,0.019476919428734765,0.5755509340886547,0.01520989344204974,0.017937341683112843,0.8593631571565171,0.7082488328104756,0.01985236923205237,0.017009879081975494,0.021504923553723958,0.017858506421489995,0.01642842800277219,0.018569803712229004
cg14735227,0.015917966780314027,0.02138627275929107,0.025284988044152155,0.01726867094419247,0.02316835660732316,0.015810151297784125,0.02202231828919888,0.023844540392976732,0.02215604985942672,0.018818589985575375,0.01790802306779764,0.01921898849075293,0.023630936652315374,0.02068347554100512,0.021729886252677556,0.014886399371253144,0.015425353044472198,0.013608244291477485,0.02155469810077204,0.016725637558307194,0.012584052661971878,0.013605189472799359,0.016488145421879933,0.018835328262340502,0.020010657951735088,0.02053727491084555,0.01794408906922235,0.018739868352713743,0.016008154580218318,0.01888711680136827,0.019967208335206845,0.01964298683375214,0.019614732867163417,0.01918561649413714,0.01854881992262256,0.02074787229642642,0.04935856488385283,0.7131630466216298,0.3670537871694448,0.020000054411588315,0.8272034281925074,0.6218786070973032,0.02236851018911572,0.09060539798317199,0.3840246697061738,0.4085979951306392,0.02116496019829728,0.02192248548641262
cg07590632,0.024855367823264633,0.023686591208932198,0.035886467380332535,0.027703880777608023,0.027649899203184013,0.022295126080571753,0.03189971861017296,0.028204820440489695,0.02688622346544366,0.024833845563986955,0.028056942173020172,0.03657516163405948,0.026542206550203677,0.030893831068359738,0.02300573006880064,0.01741852741765396,0.02063704902898538,0.017336439798559342,0.054742718482958516,0.027960990681962165,0.01727580545891138,0.017941298402243826,0.026366693420679578,0.022412811276176555,0.02396732502361467,0.028239555491230306,0.021957345967570315,0.027819896866747934,0.022243091868395466,0.02331932958476298,0.025960676809235517,0.019971240483936285,0.026181416652737627,0.02674553511035694,0.021813646032519635,0.020504461273224646,0.07224090529817126,0.6814351618529509,0.3087613094825808,0.025992021686032287,0.8099149928382444,0.6656790571367684,0.03133050690574334,0.10119674877951965,0.3665255972106028,0.31334576425342536,0.01995298499188881,0.028336063592043947
cg11503720,0.01345143152597457,0.016280963892486067,0.014035283156311442,0.017396443443176732,0.017456543496398403,0.015875613313505045,0.018564428267206966,0.019499135586866834,0.015523469132042823,0.015943286363447665,0.018784360814430707,0.01778072960550711,0.014663384346384568,0.05468676834304777,0.020847245804444574,0.43236127641484484,0.010969284443404706,0.010994891679621158,0.3066590288293097,0.04422486515030036,0.011522318497104602,0.09940997234308135,0.013029217088714849,0.016925049832982618,0.015368108467869408,0.01665128714825596,0.01577196528991468,0.015693682902418214,0.014592801830508198,0.3438848421863239,0.017229388149675968,0.014420052798036837,0.015540540209002024,0.018021713869935417,0.02843159013490427,0.5277431690044634,0.01729423575892993,0.01717424358620178,0.015821052799683433,0.016234611598894763,0.5500099734966504,0.6798855105471608,0.014083249822480723,0.01906010360053356,0.014417810267626686,0.00930292825639292,0.014090398911644009,0.014943662400169996
cg20787153,0.014827151166428593,0.017347358088936293,0.015114354013286504,0.019341931166560234,0.021920240987178305,0.016557985511915823,0.02148619673952569,0.28830064285151136,0.018485946055645845,0.021458815392953672,0.019974174408127883,0.021026649130260883,0.020047728991668887,0.01811338892085257,0.021724186968867566,0.016343674084668216,0.015603786347034613,0.013883597682703922,0.01780638739326058,0.018765807043926278,0.014247943345825383,0.0199550262171552,0.01650023154609841,0.015354251117422552,0.01903298232206203,0.01906328763451806,0.015749932614039244,0.01823695722748731,0.016054250800218304,0.019368617219357766,0.019784579056107483,0.01824060800275925,0.017041491551495185,0.01930046825385012,0.019194122643993283,0.02359252536693374,0.023133326947127678,0.023297922633149015,0.017840083096425097,0.33904443265884676,0.5867285718673071,0.5616214624969134,0.01835961563891274,0.018316021234795005,0.018421449563542944,0.018475042798207365,0.019503619187938373,0.022997944941176802
cg00085403,0.012446247233818389,0.013572048705914988,0.012383027727367163,0.012009829775082588,0.012923846430810714,0.013007181012245286,0.01612027740634911,0.1363437729295803,0.015312762150652913,0.015376468675896184,0.016737026404190673,0.014843141234896584,0.012799555245421557,0.013517905161562151,0.015559238257159129,0.00912633338825516,0.009542569267153491,0.010476222407190034,0.011984664919149592,0.012759396501307719,0.010040155190841121,0.01024882997141008,0.012278648322663796,0.011789568744240522,0.013546230975374949,0.013420655662601021,0.01332979012520559,0.014107076489234482,0.013041914877863804,0.01469294630237845,0.015356032886922675,0.013597822247703303,0.014505641590947974,0.01496317773391446,0.014321298663994782,0.013596381250079564,0.013988183581887359,0.012291747303424186,0.012665699143762263,0.29326501910297403,0.46501239191405247,0.4698021321589936,0.013318551082187905,0.012504496604274166,0.013493976845630595,0.011738413916360982,0.012180626006724376,0.015869060940041143
cg06636527,0.014411137888176075,0.01729604213197959,0.013769564814746511,0.016373645218359573,0.015650881527169255,0.01564322618852286,0.017603656901207847,0.08225269961142688,0.017016012646614648,0.015816527303840516,0.01659448099426803,0.01674276228642008,0.017609796028882248,0.016785324300298325,0.01848921200642305,0.011796386591648353,0.011916735173135289,0.011874931825944913,0.017259670601840815,0.015171885412685299,0.010934944707544561,0.012873437994775453,0.015471685399978207,0.015833891293095922,0.016536196066884636,0.01729920530758048,0.01543473177322722,0.01841696405701514,0.015676141767847485,0.016273583071256002,0.016973179773911943,0.016944875927501924,0.016414880649415348,0.015952623694882637,0.019919720017266596,0.01603538645739674,0.018367426033617473,0.017685769379105105,0.014254381749548312,0.24090521044704588,0.4578890788961383,0.43321082655733384,0.015669741961166113,0.01698219893017265,0.016023118646565644,0.011952657068577597,0.015072128107747948,0.015643016878336465
