gene,CGI_chr,CGI_start,CGI_end,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue,WGBS_log2FC,WGBS_-log10(Pvalue),UCSC_CpG_Islands_Name,cpgs
POLR2B,chr4,56976468,56977727,0.036104670420669095,0.065922260939148,3.543502811667711e-06,-0.27520575392993585,9.391029962740392e-11,-0.8356854885790671,0.3883406194412597,chr4:57842634-57843893,['cg23006223']
AFMID,chr17,78186996,78187368,0.038092083471348126,-0.020922379891269445,401.01239198307024,0.0263738034519711,3201.6206196642747,-0.3639007823111983,0.5249938929636312,chr17:76183077-76183449,['cg15227574']
PCCA,chr13,100088702,100089551,0.15816495528320634,-0.09680258947380821,1.0553853477215295e-06,0.06966833819059971,379.92136949587905,1.810536282754586,17.97652700997618,chr13:100740956-100741805,"['cg10877050', 'cg00224563', 'cg16681130', 'cg08608532']"
DUSP4,chr8,29348147,29352330,0.170807110522248,-0.13691066955101128,424.9338796106202,0.17484778145877755,0.00914454968575946,0.9903739541340292,81.83991461584476,chr8:29205664-29209847,"['cg22013170', 'cg00782124', 'cg18070061', 'cg00355802', 'cg25751295', 'cg27130302', 'cg13273799', 'cg05418877', 'cg27393925']"
STX4,chr16,31033032,31034174,0.025256707519046045,-0.03786087907391003,704.8698849501329,-0.0025071602417178224,6447.9362857824335,0.1316580015612111,0.4256113138024733,chr16:31044353-31045495,"['cg06895660', 'cg14671453', 'cg04609868', 'cg02437368']"
SDHB,chr1,17053961,17054227,0.000662471016893011,-0.06623718947989185,2.925104303042801e-06,-0.349335641560689,2.9452154342090353e-19,-0.5790191089462546,0.236333598023754,chr1:17380456-17380722,['cg03861428']
SNAPC2,chr19,7920180,7920505,0.0043060616098045705,-0.1413789617193343,1.736077636331862e-30,0.012100947614959053,5047.7194488181085,-1.934986189195413,1.6141223622166467,chr19:7985065-7985390,"['cg25462384', 'cg24121867', 'cg08580347']"
SLC26A10,chr12,57619388,57619869,0.3442861874792978,0.5000315167069119,0.0,-0.009827993918582212,5372.078089563691,1.4387881154515356,19.749028845294816,chr12:58013171-58013652,"['cg09696411', 'cg14494721', 'cg04963424', 'cg22844229', 'cg18069290']"
PRIM1,chr12,56752164,56752549,0.02368333885392514,-0.0402395194849853,15.808427831313919,-0.039826542704327006,1872.0796439846883,-0.3690875748784541,0.581746221371407,chr12:57145948-57146333,"['cg19847271', 'cg27658771']"
TNPO2,chr19,12722290,12722760,0.0030915314121673847,-0.1334424030904228,4.699099868909775e-26,0.010612048581687673,5259.511485380354,0.5191602172779063,0.2650051773306007,chr19:12833104-12833574,"['cg05913672', 'cg25535317', 'cg25933195']"
ATAD1,chr10,87817724,87818530,0.028486253726399468,-0.2302698030535826,0.01106077681405015,-0.060642436335339236,654.2352104482226,-0.2003500862677533,0.9141742840210844,chr10:89577481-89578287,"['cg07913620', 'cg03265692', 'cg24552431', 'cg00460092']"
NOP16,chr5,176388287,176388846,0.020271613116926133,-0.07612814978279626,5.565788005332383,-0.13771373826554467,1.003873237874008,-0.3789356750985179,0.0096946106381869,chr5:175815288-175815847,"['cg15141207', 'cg01252586', 'cg26363603', 'cg11181536', 'cg23983269']"
NR1H2,chr19,50376349,50376837,0.031246549630120347,-0.1092115739210303,2.7864473242251724e-17,-0.16632304989094804,0.029583212385448265,-0.631764138856738,1.1050419799102684,chr19:50879606-50880094,"['cg24341299', 'cg00336605', 'cg15225378']"
ROR1,chr1,63773794,63775108,0.3353207463840124,-0.10730665602274107,1.2301262827451012e-18,0.0008548559253483135,6694.36838053963,1.2698052930297872,30.283307379630624,chr1:64239465-64240779,"['cg24082630', 'cg11837766', 'cg10881514']"
NAT9,chr17,74776105,74776553,0.02373854477199956,-0.011790821043891961,5986.14691227704,0.005621089979321651,5985.991401559195,-0.428210300397554,0.3982640898463111,chr17:72772244-72772692,"['cg08006076', 'cg15083255', 'cg00032227']"
NXF1,chr11,62805238,62805677,0.0009937065253395165,-0.03675869862401149,4.215234007967981,0.08030611946060781,186.57452457616247,-0.477277859431265,1.0747461017412645,chr11:62572710-62573149,['cg05925507']
TRIM37,chr17,59106267,59107080,0.004968532626697581,-0.010680270455551137,7533.445852995227,-0.08982421441954472,92.42519464745745,0.15946614289653,1.0500233141907,chr17:57183628-57184441,"['cg14067364', 'cg21647833', 'cg17082373']"
INTS6,chr13,51451555,51453810,0.021530308049022857,-0.13998909926331338,5464.197627743675,-0.16172042078332083,0.054444710662871154,-0.5561204819994789,0.0002472978211893,chr13:52025691-52027946,"['cg16655383', 'cg05508048', 'cg03411979', 'cg17523461']"
BTBD7,chr14,93332363,93333458,0.01996876922348933,-0.06201170281229466,490.951343585639,-0.20083043773307202,0.00017788774546978985,0.0514006636505371,0.3144841982167803,chr14:93798709-93799804,"['cg15977246', 'cg23206622', 'cg02008727', 'cg06846512', 'cg10119705', 'cg15377113', 'cg16451355']"
MAN1A1,chr6,119348424,119350259,0.025836369658827428,-0.126609958778357,8.52946238541283e-18,-0.2717713685231178,2.0416578716571722e-10,-0.1896354419593299,1.1599369924401606,chr6:119669589-119671424,"['cg00839802', 'cg22403971']"
TMCO6,chr5,140639449,140639917,0.011096389532957933,-0.22920459461241477,2.612370697909597e-97,-0.327636442618238,1.6200687053004833e-16,0.6754870250317976,2.0437372876126667,chr5:140019034-140019502,"['cg25515049', 'cg06994793']"
CANX,chr5,179698340,179699339,0.01258694932096721,-0.011231585242161628,3169.724964914996,0.02633846890310205,3205.6849039937842,0.1897640741096396,0.6742167129107615,chr5:179125341-179126340,"['cg09173344', 'cg07831432', 'cg10666364', 'cg07352245', 'cg08716348', 'cg08691740']"
DPY19L3,chr19,32405069,32406327,0.047035442199403775,-0.009474735652756085,4588.284451309492,-0.2527048825157785,1.2487981764800227e-08,-0.3729708924485549,0.3915443349433065,chr19:32895975-32897233,"['cg16015966', 'cg02871028']"
DBNDD1,chr16,90018701,90020011,0.13530970520039748,-0.15790464069361246,3.0208254580355526e-41,-0.1219410329229638,5.363773060440447,0.9583301138241704,11.142859431919046,chr16:90085109-90086419,"['cg00742603', 'cg01386792']"
THADA,chr2,43595789,43596231,0.015402451142762504,-0.27671032824828734,4.345281086002474e-145,0.011930488463950806,5071.828416561136,-0.3661678244933126,0.5258877485185331,chr2:43822928-43823370,"['cg12191964', 'cg03071209', 'cg20341942', 'cg06544369']"
TIGD3,chr11,65354467,65355241,0.005299768135144088,0.004396297347347766,6999.674933863524,-0.16830484043587335,0.02263315932748244,-0.1285192708815301,0.0482524614507006,chr11:65121938-65122712,"['cg17244466', 'cg14284889']"
MC1R,chr16,89919505,89919948,0.02003974826101358,0.023046169479207967,4380.781738855304,-0.048321635012116074,1260.2507494871377,0.0312908915136767,0.7283843125225001,chr16:89985913-89986356,"['cg23057051', 'cg09883524']"
SPRYD3,chr12,53079030,53079707,0.014243126863199736,-0.02782886794614649,4587.939649804775,-0.2995125849788768,2.7978413114805606e-13,-0.013263694525444,0.6294251208983813,chr12:53472814-53473491,"['cg02517558', 'cg03668495', 'cg05380522', 'cg21265568', 'cg08567916', 'cg01307092']"
SIRT1,chr10,67884411,67885420,0.009771447499171911,-0.06500922743975038,6.913702407636039e-06,-0.12991089556713442,2.3542638586951257,-0.0467799566293205,1.0398922149304823,chr10:69644169-69645178,"['cg03211233', 'cg02720207']"
NEURL2,chr20,45890258,45891722,0.03221265319642266,-0.05771886704955661,2.1718081263418942,-0.10787057205271186,20.465811845045593,1.0650685821115669,6.169771174006672,chr20:44518897-44520361,"['cg13788090', 'cg03560963', 'cg13270406', 'cg11992317', 'cg21762107', 'cg02664993', 'cg09638001', 'cg17437181']"
NUCB2,chr11,17276232,17277147,0.007784034448492879,-0.048282906710480335,643.9170803297674,-0.030420592913555748,2755.380490372663,-0.3719691254530252,0.7339410278539102,chr11:17297779-17298694,"['cg21795654', 'cg17510133', 'cg12575751', 'cg17317180']"
