,B,CD4T,CD8T,Granulocyte,Monocyte
cg09685500,0.029444772047642988,0.02752957466028255,0.028321513857343567,0.028128420423396073,0.02731877411764697
cg11347311,0.02926402513682425,0.027478294613870368,0.027316675834096044,0.027674207128507433,0.027241951740363455
cg21182454,0.029082445638281402,0.028209799666912474,0.027882089562027722,0.0283838394166893,0.027089960665462515
cg13635462,0.01552742175655239,0.01539330126905287,0.014490077699727611,0.014460396486070911,0.014331978847949593
cg04078321,0.0368590405339422,0.03432711937234873,0.034121050404917405,0.034114042091995304,0.033485598858456915
cg18129198,0.014108068491352358,0.01362685787253104,0.013442552259212207,0.013912540265078087,0.01247763096241712
cg15579587,0.017500352495579328,0.016729277960104573,0.016410786574171395,0.017497152147428936,0.015913058076219646
cg11899891,0.03261821122568822,0.03180302987699042,0.03722371968767617,0.03308212536690981,0.03144960545487092
cg17041152,0.02923230209121413,0.029454699129495908,0.02884410040686077,0.02764699415921481,0.027834756138095575
cg26135506,0.029383861982090996,0.028365383471240287,0.028063165890530338,0.02923315012991648,0.027314865327269854
cg06046430,0.04265588351685934,0.03629337163877217,0.03942692010340811,0.0369380617758029,0.03678996711101984
cg10226628,0.018284004798943883,0.01636108359722156,0.016626579647433005,0.016613594955474664,0.015413150345954788
cg26313647,0.025438388633265828,0.02316053771460006,0.026122528899672794,0.022913124162100628,0.02289416933387132
cg18023951,0.028597491123628856,0.027953218983180452,0.026769618940376865,0.028549967367394808,0.03070768255817843
cg26864834,0.026309667805020778,0.023978869497020067,0.023689608075718644,0.023473225858401447,0.02495084174986432
cg23504634,0.029110644581667143,0.026779745659027104,0.02639046501896366,0.026828177272390313,0.02615982492551256
cg15556553,0.02197983974823306,0.025002440018408484,0.02421187612853401,0.023079245019661125,0.023933360457800222
cg10397063,0.017093372695257045,0.01742941709645862,0.01715594418532097,0.016955666401014372,0.016146943328855388
cg11831981,0.04008860775850692,0.025360906658617826,0.03782215271213827,0.01960704761393948,0.019546271695808297
cg13386712,0.0327769883296037,0.03013712977009105,0.0295719522578985,0.029329992494328754,0.02837836075926346
cg27479693,0.015043892282667065,0.013429960644636111,0.013706354042413436,0.014025504287799558,0.01350295185437055
cg10313637,0.021773149601640143,0.02191826814891578,0.02293103524127753,0.021280202665866145,0.021809019227230723
cg10533351,0.01721218455760639,0.017676102301761785,0.017034198134589746,0.016761219133647438,0.01633943006690248
cg20554312,0.015931041497297394,0.015209411525511368,0.014981116687249196,0.015035142723012332,0.013978108873516113
cg01836441,0.03603316305566433,0.03241976157414481,0.0343934488809209,0.031677242434808524,0.03391760680088348
cg09260158,0.016308388234149856,0.018214498530182976,0.01679282197564896,0.01752721073758512,0.01682175351189171
cg18630857,0.03149504467573859,0.031051166638773303,0.031508447497034416,0.030142387041551557,0.03083538876707487
cg07151644,0.019757789332310042,0.020055786638856314,0.019466882420604053,0.019788661927560607,0.018399313748127994
cg00400632,0.02368542811922242,0.025065585918992526,0.024135263903176492,0.023760404419025074,0.022897813748526334
cg03364076,0.01905033592087216,0.018290970806933312,0.017891142208991902,0.018014290226029992,0.016155321661175753
cg12618546,0.018039065285271993,0.01868846264319055,0.023221056062357755,0.017215885304935483,0.01620971057297327
cg18940113,0.026217578984843955,0.025577963616651565,0.024501366990570927,0.02485068355913773,0.023437441033719298
cg00065921,0.022884848241824036,0.02225611266903388,0.02206303958270957,0.023725120717959923,0.024027963366924743
cg11032268,0.02821013561188073,0.02893020522598766,0.02624430066062889,0.02704331763272457,0.024085157518041463
cg19888535,0.020026419060639063,0.01910305024636816,0.020211699161549745,0.02052820801674613,0.01863616173028006
cg18655657,0.03035599694391445,0.03126408719705013,0.02961968781519388,0.02743859914065433,0.02705974340693047
cg24786498,0.03206087259920914,0.0310053650028354,0.031215756601517788,0.030336710420663115,0.03214974439962033
cg07134254,0.03419772678908487,0.033081340645077326,0.03374598013980842,0.03376911135072079,0.03249605006301796
cg04264417,0.03006834971909526,0.029447103161686035,0.028329372335531695,0.028507537723821492,0.027871536524659454
cg07771338,0.031544447224222054,0.02970820972119789,0.02946627603536895,0.029282381901564958,0.02628669305790713
cg13277983,0.029245754288561042,0.027197768852465967,0.027787371830544905,0.027406893618423578,0.027406174512607368
cg26396455,0.01251170218888016,0.015229306930709932,0.022601619121247914,0.013666014079606758,0.013772413735720305
cg20516074,0.020300017097752476,0.01955752907255729,0.020300892837375267,0.019346022425727603,0.01929672664814957
cg08542227,0.012062431603967532,0.011367283000949505,0.012195691438831988,0.012020557361769912,0.011454296226419247
cg15135914,0.018734436207337318,0.01908990544770544,0.018514513251232382,0.018988687374592757,0.018635014844135184
cg03806095,0.02884142803918608,0.026485427470751888,0.026153404082090152,0.025706816360454493,0.02483213217732826
cg15673240,0.03066920049818032,0.029997294113538797,0.03028051327674544,0.030749515478275972,0.027876914137068224
cg25057861,0.021890994772408412,0.021013820455762482,0.020089145481404436,0.021876276933026174,0.018799570700257777
cg06252382,0.018264284683396966,0.01817116462168694,0.021548655165454587,0.017182571656073144,0.016398802837403834
cg04212338,0.01972000068497819,0.018049214135353122,0.018098640152068697,0.019463893149685857,0.019494519715798686
cg25283577,0.01988085938594475,0.019708412569159173,0.01959069199762521,0.020079910577568222,0.019874146545418924
cg14127347,0.024712903511226254,0.023631871554546807,0.024147503347604318,0.02382581644080032,0.021874109499673028
cg21497043,0.03423352168391864,0.03173113093720326,0.031907602752371166,0.031198277296487633,0.031575800775669516
cg13212400,0.013616681257637039,0.013198865251043536,0.013446269178299256,0.013343731337573243,0.013198757716663958
cg21533727,0.026205334094952785,0.02490040449904091,0.024348643714995396,0.024737228815884645,0.022657862816097742
cg24037381,0.02597171238946238,0.02402713614107521,0.024156017040863956,0.02466757183122768,0.023025264760725365
cg06067032,0.02402752452367941,0.023415894068089495,0.023639048838082384,0.024225038833881028,0.022614547911752717
cg07898651,0.03382252948063283,0.03364144430592076,0.032185764561890366,0.03274224677687453,0.03378259334391674
cg16343696,0.03742656835942189,0.03523348085839767,0.03394948569382119,0.03602506755578005,0.035516838275407296
cg01995078,0.011551179275116912,0.01178759212080053,0.011077229489343698,0.011863032944394109,0.01073548865896523
cg15739389,0.019696027079719645,0.01995866686942721,0.019126568723356083,0.020048041554723697,0.01892180789287647
cg01276938,0.03958770113741849,0.041143404811998026,0.04098635534818335,0.042541505194675415,0.0431312012985484
cg01077102,0.020150059153228077,0.02093252620300396,0.021505565945141598,0.020773286434130435,0.020262993404340148
cg27133713,0.02481390526900537,0.023547929863105804,0.022957825791745785,0.023889760323716144,0.023226633260235368
cg19099850,0.0289864565909425,0.027526870976016086,0.028073655437578508,0.03022585245043081,0.02827328951282266
cg08440162,0.03328979155567837,0.03231479309810679,0.03183312133357104,0.033270754065962395,0.033115919870778505
cg12249728,0.03032012473917126,0.025415382858362544,0.026682164309384675,0.02402286657393818,0.025289653688282333
cg09122799,0.025845878946151365,0.024867428170024988,0.02507754654957824,0.02474951980766126,0.024703573355028187
cg16671114,0.015868929570052644,0.01544478721430538,0.015476340180157167,0.015397257704085907,0.014949797462075498
cg09351254,0.03216277934221731,0.030954980995442593,0.030239273182365356,0.030424280766214264,0.028428611015957662
cg21048501,0.026006073668876445,0.031032093812075785,0.03219276934906547,0.024047357279868835,0.02507054850446264
cg22409854,0.015203868419212197,0.01468344667845962,0.01459191928153675,0.013893476294506773,0.013451027452237444
cg10064886,0.016858411748020035,0.016559867877055486,0.016243758909193887,0.016177351160249515,0.015733403980057133
cg22288101,0.03189955345262314,0.031049642245747255,0.02917273930330932,0.030607729430129405,0.0279893836253532
cg13008879,0.012699210134484402,0.012783247873604747,0.01232001644026243,0.012743593515479964,0.011777859572587665
cg08055667,0.022452637294615514,0.02164946372417107,0.022298622555205306,0.021097231471284717,0.020991455374942923
