,GSM4849811,GSM4849783,GSM4849807,GSM4849786,GSM4849779,GSM4849782,GSM4849814,GSM4849803,GSM4849775,GSM4849810,GSM4849809,GSM4849781,GSM4849813,GSM4849785,GSM4849784,GSM4849805,GSM4849777,GSM4849800,GSM4849812,GSM4849772,GSM4849801,GSM4849773,GSM4849804,GSM4849776,GSM4849808,GSM4849780,GSM4849802,GSM4849774,GSM4849806,GSM4849778
cg04358131,0.01539591279585396,0.012208625568883946,0.011913326414387845,0.0151211529044617,0.01665887855531888,0.01901008554645718,0.014474083135908025,0.015983810911530387,0.017851327377800534,0.012159935964379243,0.014020945032568769,0.016773213402167628,0.014797158220488113,0.015672144359749476,0.9682585272420464,0.015565386173354219,0.014673452447730684,0.1281375791048735,0.7475011226335732,0.9807066540335064,0.012419788183705413,0.01646703106149201,0.01773253515957757,0.014777655171296757,0.013046983735356368,0.012767173529738083,0.01635865691569863,0.01526575404400073,0.013259452234723426,0.010134400844540006
cg10372121,0.021062322112465077,0.01565241766427152,0.021160551183950566,0.018908798144809214,0.020758210188888387,0.025115615777540578,0.01602845113144277,0.0199821079422037,0.018690347210740133,0.015112075113029822,0.01718434915852316,0.019369653386594972,0.0233237870888455,0.09682795709491103,0.7559266734772295,0.016288586010793457,0.021734458599187864,0.048424817842015376,0.4051732577733474,0.5049737007049446,0.01910970322881099,0.02170177121635901,0.01986810563381908,0.017146776633688,0.016268231455414676,0.014660528910651102,0.020951919474738113,0.01462176597178994,0.017251832355112382,0.019117636807421772
cg23963136,0.013014809626565194,0.01849784607212644,0.011531873782938976,0.014128244872696405,0.012438769109738162,0.012255851797721524,0.010156149137823044,0.012376203636813195,0.012694088445847677,0.010434045158839054,0.009695899552347098,0.013152402554386433,0.07083499031103385,0.04737180449060246,0.5883971021743436,0.011664741429076773,0.010823849221937147,0.1423481140893716,0.0483703561610246,0.5677850336832403,0.011229834708265203,0.12881405739695967,0.012980080163592343,0.011163312126994453,0.011107955497447856,0.013470300110208694,0.012209809631174002,0.012369531046898575,0.010862259389816702,0.009534339291831005
cg18094366,0.022390125303916195,0.020525303071265485,0.01910882846298557,0.025732047417140722,0.0190840816546402,0.02191745022640752,0.019143196372985238,0.02266393733401667,0.023275460522427325,0.018413444294016226,0.015725318518965064,0.020744857891293912,0.01901931130278072,0.017218479923503963,0.8708719891753731,0.019949388417418737,0.021805231900994416,0.09417541290122909,0.1592844478552271,0.5960592134265568,0.023024378313401067,0.020857869132084317,0.02325653339814899,0.021509398204361454,0.018216953617703712,0.022672777032954238,0.02139448028221427,0.02009467599950789,0.019677784402176615,0.015152262101433321
cg14545899,0.019520792523219525,0.02040427711880158,0.025953904127406766,0.01815675076644761,0.020791885751368575,0.019069953180345395,0.018835125152007935,0.01997508868348955,0.020660933283846862,0.01382376030687554,0.019641305630700337,0.02183471219624582,0.021374379248428766,0.01789200697346277,0.022677596497091015,0.019813766627185855,0.016806160222727115,0.09758255916456166,0.01723441883074849,0.4326005672114105,0.025449439080686108,0.023380705805903554,0.0173862037035933,0.01704151332802146,0.015211840735016031,0.01925595356018424,0.016219259827542895,0.017405844122264293,0.019629340373467703,0.020082765487285707
cg24957476,0.026025379612095067,0.03448008369957666,0.030584873475536352,0.023664021688544506,0.02201377731465507,0.03433031024287679,0.018508025838321833,0.03266391852713315,0.028793253179324366,0.03391984456801853,0.02688423218225394,0.024090811958404228,0.020341380221469998,0.026147817292751,0.05285779352597321,0.036253709888933214,0.022943477300536707,0.06771354256572161,0.05323780088964452,0.2954580439480959,0.03299826929793158,0.028817542829998752,0.03432043013974854,0.02869566474458428,0.039280224521744796,0.02284689987458456,0.03182082079189903,0.03652604673874673,0.045812214724125874,0.027301717301154726
cg02424179,0.11802526257289529,0.14964126227090638,0.028235277189425666,0.02363107104901814,0.04953391031669591,0.031180431571006764,0.024560381578295685,0.03071540742154695,0.0355015018422161,0.03295122462122737,0.02047266907925318,0.02266049098045629,0.03920222617793755,0.021169023696114384,0.2477889248049578,0.026787277086917458,0.03221874457190046,0.0848197663754364,0.06364686404776686,0.4695131188486414,0.033051830532418267,0.041295700854322916,0.026036534859516482,0.021423491575535376,0.024123562028842773,0.032189139312785046,0.02284613238299707,0.021224104414063236,0.02776767628831262,0.0330520586237045
cg15375239,0.012506101886913331,0.011325727125450154,0.009991935565851361,0.011743324686594754,0.012704743299971736,0.010028611345665147,0.009619723781693864,0.010843902668668371,0.011658290847103696,0.008747891937381876,0.009245544334467365,0.011058797661080928,0.010995601314591952,0.012050102029415592,0.08533835087867157,0.00916377314435919,0.011452906755477789,0.07603265895920593,0.008741599328455517,0.16504435076936483,0.01652950643146449,0.024483874656931824,0.011353860815986166,0.010751900758644859,0.010848463256126315,0.010704061103083905,0.009942118588117136,0.010469145144008636,0.008851510009853507,0.008061169340529856
cg20499457,0.02256537346192686,0.019098731920157073,0.015468610777777673,0.021394608433286135,0.018827465924819417,0.01900987655785165,0.0168300680877177,0.02263334996155157,0.02291250890555473,0.01738530228505929,0.018892085211042683,0.014381444698011177,0.019565864490255217,0.021245849703233163,0.14394530483375856,0.021429697251336557,0.01990208536936236,0.10524752714302589,0.015607151864831935,0.48834658642337353,0.02241023122591798,0.021898279569688317,0.021719462306134304,0.02164444059492133,0.019158993319860623,0.019862763840699793,0.019872498856658875,0.01655560491769142,0.01821950912872666,0.01592029580304818
cg24984523,0.012999301194464774,0.013237903181736647,0.00951188548567166,0.01114406499860313,0.01104573763100847,0.009492655164393257,0.009172082151574997,0.012394610821623442,0.01177677761807686,0.008914663854087273,0.007904425896677404,0.009369968969521546,0.010788799097764335,0.012426263590837924,0.1933921174059494,0.010805262328716207,0.00834048896976574,0.09639250839066658,0.047482654252089924,0.4077799328192766,0.01013506894192654,0.010218147486434626,0.010114313494566837,0.009384698778668748,0.009124997286499079,0.009390325236798528,0.008855614832557241,0.010485770984764865,0.00910179868442557,0.009058818789849219
cg07175507,0.020420938356939252,0.017036333091974467,0.016396200043344872,0.02114150539611011,0.02207774773043922,0.020280813675111836,0.018475979765777042,0.13338826671869572,0.021602142404685724,0.01738845134773005,0.015400333937088975,0.017022101710641686,0.02004065206069816,0.024184711886303927,0.2028722827245586,0.07611558330800157,0.016728671776757017,0.023433620890526058,0.017651259406678513,0.032060998022627095,0.023227585292328275,0.020063433607203043,0.02134924397797574,0.021157090776205926,0.019862501047665713,0.019670198593214547,0.017576970641494542,0.022163236637730014,0.01789144236399567,0.021503859085058655
cg21387418,0.01529809123959866,0.017493005597828005,0.01535646281717184,0.01889490232239539,0.019686810079783276,0.017081028530036353,0.015709722448633164,0.019565279400215102,0.018997856948321946,0.014891237672088784,0.01469655993504935,0.014956747123559983,0.01514594806866374,0.015621938509630244,0.9145953423242696,0.24864886406779838,0.05217066707655052,0.013996954106511429,0.013360989621863674,0.020810258945063068,0.0159647747132446,0.016460348832661408,0.016358100143064505,0.01791287937267385,0.013542454429945689,0.018233739750994966,0.017131636880239942,0.016254251837554183,0.013097363789084094,0.017834990978657084
