,GSM1203867,GSM1203866,GSM1203826,GSM1203825,GSM1203776,GSM1203775,GSM1203817,GSM1203816,GSM1203582,GSM1203581,GSM1203844,GSM1203843,GSM1203487,GSM1203486,GSM1203813,GSM1203812,GSM1203505,GSM1203504,GSM1203847,GSM1203846,GSM1203499,GSM1203498,GSM1203510,GSM1203509,GSM1203402,GSM1203401,GSM1203646,GSM1203645,GSM1203382,GSM1203381,GSM1203853,GSM1203852,GSM1203377,GSM1203376,GSM1203718,GSM1203717,GSM1203596,GSM1203595,GSM1203728,GSM1203727,GSM1203590,GSM1203589,GSM1203416,GSM1203415,GSM1203762,GSM1203761,GSM1203631,GSM1203630
cg17179875,0.028604024601048012,0.03185204159897449,0.03169155908684813,0.025999135070644535,0.28897659770264605,0.26528540423815034,0.023790783027745902,0.02632875140802326,0.012824273838148145,0.015600134141090566,0.02452798556722901,0.02759771895180609,0.3403227716589814,0.13430861360974794,0.02121285975953566,0.025923534312866585,0.022495271459499977,0.02106342147446369,0.025137390751969965,0.027322289734701737,0.023512084724697048,0.024991617329027882,0.47506512802513756,0.3333040972126676,0.02311931380416418,0.024237777539953247,0.46500240432847717,0.48262195742767827,0.02018985725095344,0.022210177793466755,0.021113066527996747,0.02752392972518485,0.014184934907939846,0.025834211673609265,0.02131987590383605,0.026197310931322437,0.019730651847923327,0.020980906556081178,0.021883483771015105,0.022505613000414617,0.021917423450360154,0.021337089409649627,0.024322040239652478,0.023788201396750856,0.022720143162487886,0.023109419651116157,0.022769717415991056,0.017038141825260457
cg25743043,0.022234655856230953,0.018662772117431323,0.01972388544259756,0.017589464975484605,0.29486600700984755,0.018914405167982495,0.019284964186028607,0.018990791640488378,0.011774228562164191,0.012280918282943904,0.01696307966414028,0.016104661252103893,0.4246712384543197,0.5122213749238367,0.016059133925814765,0.016296130592210765,0.01929275869675998,0.016166826279533336,0.020976979379393787,0.016440877626574417,0.019563791433316182,0.018798182864485164,0.5062851783062857,0.38218783807265494,0.01821148026160528,0.017121501049541944,0.5052411606843905,0.5019339982753289,0.01605059394804138,0.018801726296093536,0.017569620875903604,0.016482116483570543,0.012766618540170289,0.017428309794743344,0.01733105852994572,0.018888865621656564,0.017011465253842534,0.01815311474932159,0.018382952708752866,0.015121256639870633,0.014937108590937035,0.016181106296058317,0.019045732837867455,0.01882744398668145,0.031508832474531276,0.02066772399538699,0.020367763576277672,0.011511597332520392
cg07822305,0.025862590661691113,0.021065565822665968,0.019313438276385854,0.021903110075181757,0.16887110499568891,0.034434193150412525,0.023864925284951218,0.019515268967667188,0.01872884222776723,0.01770298526469916,0.022824778365856915,0.022471927653829424,0.37965451025853825,0.4541205469047347,0.01730018482421808,0.022558007417482727,0.022032360605766545,0.022858324869082684,0.030978302072047877,0.022021930142665114,0.03429440368149979,0.018667841817521753,0.4934658281964665,0.30406305564279756,0.018215643854233878,0.020586767731179546,0.5250566182779288,0.5227627333175187,0.023514598825199438,0.019070167731496845,0.018907426871977082,0.019913268378706935,0.013867956966430416,0.02109567721840866,0.019678187385253426,0.02083632616936362,0.017268100923045777,0.02025890708165665,0.021792400387077533,0.02210316987997788,0.02013417669411721,0.021413288331363002,0.023719512931340572,0.022527751012023575,0.05430465201960274,0.024652878841843716,0.01865680204622612,0.013437720951292982
cg01244034,0.022915844370060987,0.019841867279136324,0.020153210844290136,0.023128784133998246,0.020034979334269,0.019707105790917116,0.020698989050762204,0.02088897665399917,0.014708439308504836,0.01465805919823237,0.019897890259945532,0.019319416184365303,0.01495747783385907,0.013319857572786285,0.0193382822119837,0.019684721053533763,0.020515206749201254,0.01848749242292262,0.019929066057433713,0.020143042930540783,0.5100296705603364,0.21506818809914383,0.07976569497298046,0.01659127864546608,0.019255412456421272,0.01924075046582796,0.7991977793054378,0.5798912924443062,0.016782254865973394,0.027673630479956763,0.29908672736168523,0.11000448101672869,0.015938280681161647,0.018921125801466078,0.019491380758169592,0.024455098595542048,0.01737772337364531,0.016395826568773007,0.01986325059407218,0.015947563884904613,0.016435693326090788,0.01672438479139745,0.21960932741020875,0.020067820238578726,0.019295148482677497,0.019943107902885143,0.018029735999103666,0.014107301271534287
cg15383719,0.020704808056790577,0.01888421639665026,0.01617991594298067,0.017666158621874272,0.01801865537008451,0.03894795219727324,0.018080332566981508,0.017682338161322173,0.008908041645171666,0.025117124145757376,0.015820862265592917,0.015489899269092153,0.008694647706949237,0.011717478422139492,0.015290738908814053,0.16251840161735992,0.014335239632245696,0.012772584159454243,0.3523204791720982,0.016685189459427898,0.5670452886229588,0.18359678652908873,0.014905734760620855,0.013218672713540552,0.2429921339533391,0.01517317039619794,0.5046005340381244,0.3461782608083567,0.015476604344669834,0.011438215283347508,0.0156458510924623,0.02579708042474475,0.010125220283379324,0.014616876841092802,0.01829019961300031,0.015291188383959715,0.01625947337595189,0.014515325419598196,0.016122262577060738,0.014946574642958633,0.015204639168406002,0.013535111707984096,0.014331030835479559,0.017344327409375797,0.019847785241167596,0.016050743626859557,0.013027124424934448,0.009100197274758408
cg11503720,0.018564428267206966,0.015875613313505045,0.015523469132042823,0.019499135586866834,0.018784360814430707,0.015943286363447665,0.014663384346384568,0.01778072960550711,0.010969284443404706,0.43236127641484484,0.020847245804444574,0.05468676834304777,0.09940997234308135,0.011522318497104602,0.04422486515030036,0.3066590288293097,0.016925049832982618,0.013029217088714849,0.01665128714825596,0.015368108467869408,0.015693682902418214,0.01577196528991468,0.3438848421863239,0.014592801830508198,0.014420052798036837,0.017229388149675968,0.6798855105471608,0.5500099734966504,0.01906010360053356,0.014083249822480723,0.014943662400169996,0.014090398911644009,0.00930292825639292,0.014417810267626686,0.018021713869935417,0.015540540209002024,0.016280963892486067,0.01345143152597457,0.017456543496398403,0.017396443443176732,0.015821052799683433,0.014035283156311442,0.5277431690044634,0.02843159013490427,0.01717424358620178,0.01729423575892993,0.016234611598894763,0.010994891679621158
cg04585517,0.013994403748467285,0.013825531722696504,0.016162940384141334,0.014411405789500611,0.014130684745110492,0.014328302281288206,0.015192936778006674,0.015039908270352773,0.010249898960291683,0.011264206568160805,0.014908618344608394,0.015966255011881,0.013860087333606748,0.011716884435723312,0.01753280141232561,0.01629093532286161,0.015167751249745778,0.012391451977156335,0.014429044212037834,0.013824458811574155,0.011179374815751073,0.011867019113648665,0.012830215254289207,0.010763650041594344,0.015554231078116189,0.014068831852201496,0.742881958500705,0.15838903441370505,0.013125435204355126,0.013375912281679473,0.01541517838485535,0.012441435429988885,0.011425440449115568,0.013648924641405026,0.012203744059307024,0.011620758587439337,0.01402632266601921,0.014256877538405738,0.016797416896402923,0.015228534777583728,0.012077617606851377,0.013680597841012136,0.01455372085868117,0.014908632343128543,0.020693225790602385,0.017369529866648647,0.01300881657267289,0.009503022507620258
cg26625629,0.022115489845555097,0.023688876774738736,0.022783338494374982,0.021093748140152885,0.048195817668301874,0.020837765617181078,0.01786299496771821,0.021066977743124132,0.018643539899188235,0.03390678265098531,0.4193930340256163,0.3051549041272235,0.045730983773097554,0.045392708649563,0.023130331354987727,0.02198126781926252,0.018823924205162736,0.017783656820574405,0.019718606284680307,0.021061618538482766,0.019675383542053483,0.01746005743658443,0.0678685906462931,0.11774935139459831,0.022927538883641067,0.021217592922907848,0.8441834178411941,0.7327184650988104,0.020591463798897335,0.018816315251509824,0.24793848054866155,0.02687648177152741,0.022118945912838493,0.019235655189018465,0.022518932878523093,0.020084348133336274,0.017987395907031967,0.01774061788309546,0.02066724366884462,0.020914429600814577,0.059166872483156,0.018924782902454373,0.03381788537995109,0.020865825368677114,0.02146119035702334,0.02468729504090301,0.02086460778147336,0.018744061365374834
cg17354190,0.017654256718370582,0.015539169478526989,0.01676508779588538,0.01490905072503699,0.016908701360571085,0.017433610097654404,0.01563344478849872,0.016784322961941753,0.011749318014395263,0.01147146963769524,0.04397305151521528,0.06963405872700743,0.011537638437856178,0.011529886094689449,0.03519977926977533,0.027423066813688727,0.017083903474951197,0.015333719508062272,0.017266310618484906,0.02007406519288081,0.015833300383723346,0.017284069380812193,0.015878892998374857,0.014377495385570052,0.015851897346415292,0.016846113720517475,0.4683961613316338,0.31565626816326087,0.01647352032133794,0.01965546186097331,0.016046816868544166,0.013306972631704935,0.01362644433794985,0.015180671915174493,0.016641466114052907,0.018297956494401968,0.013640477225854165,0.01561949154486321,0.2566628666446825,0.06648002011005666,0.015666548873865312,0.013410833172695608,0.01957062614900897,0.016354929913818917,0.014776935577646306,0.01778937151427,0.02029378313605162,0.011351359312548109
cg07019536,0.0325033996103866,0.03565961452449174,0.03587096380913384,0.034949294248402756,0.02373610566429757,0.02852172014786676,0.027098675463028046,0.029492424075368832,0.022371917647826967,0.01634286679258365,0.02846943542666896,0.024942694069841415,0.019635063533760218,0.017978197021198714,0.021625399698217935,0.04828911992350921,0.02804153606452239,0.02473388455000149,0.023549010024278724,0.02545577952011016,0.02903119459838869,0.028767710610499243,0.02380494114404569,0.025761458937419105,0.02408656119582213,0.027367215903974968,0.8162946282428193,0.9228164730189011,0.0576063596838846,0.025378432504798484,0.02798985520858412,0.031023314126411575,0.019737425114433695,0.027688691893594856,0.02532150735607901,0.030129995073614604,0.02401341052633799,0.025047821817606175,0.020312979511037586,0.026875413604936563,0.02493727922168374,0.02479759041750648,0.029714549354548345,0.033369185487858374,0.026116050335135328,0.028427814902902866,0.027116465081223052,0.0270280306509176
