,9704031022_R06C01,9704031022_R03C02,9769100165_R02C01,9769100107_R02C02,9769100165_R01C02,9721367080_R06C01,9704031022_R02C01,9721367080_R05C01,6929793133_R06C01,6929793133_R05C01,5773184018_R02C01,5773184018_R03C01,6929793134_R01C01,6929793134_R05C01,9704031016_R03C02,9704031022_R03C01,9704031036_R04C01,9769100151_R06C02,9704031036_R02C01,9769100124_R06C01,9769100042_R02C02,9769100025_R06C02,9769100025_R01C01,9769100107_R01C01,9769100151_R05C02,9769100151_R05C01,9769100151_R02C01,9769100165_R05C01,9721367080_R03C02,9769100165_R06C01,6929793133_R02C02,6929793133_R01C02,9769100134_R03C01,9769100151_R02C02,9769100165_R06C02,9704031036_R06C02,9721367078_R06C02,9704031036_R03C02,9721367080_R04C01,9769100107_R06C02,6929793133_R04C01,6929793133_R03C01,6929793133_R04C02,6929793133_R06C02,6929793133_R05C02,9721367078_R03C01,9704031022_R05C01,9704031022_R04C01,9769100151_R03C02,9721367080_R01C02,9704031036_R04C02,5998789035_R05C01,5773184018_R01C02,9704031036_R05C01,9704031036_R01C02,5998789035_R04C02,5773184018_R05C02,6929793134_R04C01,6929793134_R03C01,5773184018_R02C02,5773184018_R04C01,6929793133_R03C02,9704031016_R02C02,9704031022_R05C02,9769100107_R05C01,9769100134_R02C01,5773184018_R06C01,5773184018_R01C01,9721367080_R05C02,9704031036_R02C02,6929793133_R02C01,6929793133_R01C01,9721367080_R02C02,9769100165_R04C01,6929793134_R02C01,6929793134_R06C01,9704031016_R01C01,9704031036_R05C02,9704031036_R03C01,9704031036_R06C01
cg00549988,0.034676464650747474,0.03999629982591888,0.02299424210319409,0.015849714689123474,0.02883704099590948,0.038772099589009366,0.018526966238746438,0.019085591001199012,0.016210189122935176,0.031011197735391738,0.019617999436022028,0.03527656512913931,0.03242181526026432,0.022537051741714005,0.02765870059165613,0.05218358891850509,0.01712779957265642,0.047515052681069404,0.039610523319305195,0.015656239137798504,0.021805891209433007,0.021441007209497334,0.025502906241597147,0.026458839127247363,0.033361419127451435,0.02926720438975113,0.027166990484036892,0.05531979685469608,0.02137059401580921,0.036346523241812596,0.027748396270903124,0.041620139056771796,0.04236492402119589,0.0439136911963986,0.06163580112896796,0.033127421855471725,0.045730335547583455,0.047499635581766744,0.08110774078551237,0.09720509614676397,0.02402051627598805,0.038172213983721025,0.044485086390301035,0.031217096135483853,0.026943128809269613,0.0317241222900265,0.020254047929491197,0.05565036163279503,0.03949699492607629,0.020871332946825808,0.031359992761047284,0.04191648831076497,0.037210895042690234,0.05615027180588981,0.08700843396886722,0.07262695975680232,0.02927083365311446,0.05252386985557853,0.021550681745967012,0.04118608658368323,0.03886111368511991,0.024927084337160507,0.013038346945702262,0.029090291763781594,0.025715635092573488,0.0263665040637163,0.09861741882369132,0.03363521458357723,0.053450120755020265,0.06038960084579778,0.02774450155529072,0.025706827217518016,0.02634942935729094,0.028444393365440652,0.03848585122506746,0.06493719531178838,0.02391739992243554,0.045804226004885075,0.039427378393173715,0.03941748410396839
cg12953096,0.022624381366303743,0.020140139084237774,0.01871820116509039,0.018376136400250053,0.016176455246226254,0.01691258013934774,0.018277470789575628,0.017982898483926486,0.00890095495892428,0.0174476222254956,0.02163242760075302,0.02015538031108872,0.02032920240695998,0.015691659509891882,0.021751142827585883,0.020724509032967478,0.01470821272607986,0.014448184395734594,0.014322845266434197,0.031878090278828104,0.02795981778705157,0.027918467606439554,0.03416908796863428,0.016966394678938453,0.017034733406271055,0.029293714859770413,0.0177626003789102,0.01904202871354028,0.018636089039173513,0.02359522133344543,0.01709193666813329,0.016617015021531623,0.022705049070210384,0.019737338313351584,0.027979583517036073,0.01699909134902021,0.02848728679953385,0.014836536435036513,0.04096022487979265,0.14709566628137621,0.020019990280806303,0.020039028207043594,0.07335587964235173,0.011121892920766551,0.017850645654207836,0.0138471967953313,0.01759173120131888,0.020749047140102617,0.015406126574294875,0.01795523617073709,0.017779033702467743,0.0657156663582039,0.08428556008613511,0.016805469533739268,0.014307509865030847,0.02471380707906717,0.03046803029101889,0.01760718729293664,0.01682674019636446,0.06915204826728713,0.04924697395823726,0.01749921056767556,0.034780961566247104,0.025664973410751163,0.015507996787590756,0.01909721211297584,0.00989232300773387,0.027270671652239845,0.023698882557695,0.016408563610515656,0.01636567754890812,0.019185652405325493,0.01806796565422907,0.017052102435647316,0.018281172995032083,0.01203292025193631,0.013841835525572117,0.01588295395229406,0.015856058637086078,0.021735306937384256
cg03265944,0.025409788489076424,0.01675570999851089,0.015803425635765766,0.01556201488137325,0.013968533409018276,0.01370604729400696,0.011791788247788421,0.012100103524729322,0.009370552467262643,0.016639278091968187,0.013969813308566111,0.014850667365219901,0.04645196905187419,0.01556227213813366,0.014447971625530905,0.027982261009894625,0.012382605075270038,0.08802452257175035,0.13133503317766942,0.024861777675955495,0.02944227305065088,0.017403571969283004,0.014432651880351583,0.011661048884191874,0.013261874677565993,0.01703243596660299,0.022672530363595365,0.017498470066611913,0.018691661768268083,0.020850259209167773,0.03676614135474437,0.04064199118829524,0.019187164099310695,0.023358703212014442,0.019408618311712734,0.01959996620542654,0.026269157510386127,0.028318999525837708,0.01959714308122741,0.1579504744257076,0.020278667452933396,0.020087342063956803,0.023606777577389895,0.011090133321490914,0.017701503898133197,0.013872794929957185,0.015024035910858529,0.016635298509433776,0.012589626112739347,0.013899418599865538,0.012377701444025944,0.11936009278344553,0.061810762177586194,0.013800868027202661,0.012870944184442212,0.12782304784860157,0.03898329300156084,0.013347631659268036,0.01393582766287329,0.033041520258208744,0.023590219583155738,0.016975147231501623,0.013588997260226096,0.01221492166693455,0.024551067413540635,0.018187297204260218,0.023234474592224053,0.02088866579501876,0.019131663243640098,0.014793906200830553,0.020128274655946115,0.02028336507285045,0.013483368760539419,0.015068489253574686,0.014978065186666372,0.016094030018044304,0.00869962577301537,0.01565128026410691,0.01618636464700758,0.01549945251166673
cg10960632,0.02234449021354064,0.02735448929342917,0.022912625259183424,0.018639874693790307,0.020124084600478896,0.025939534118788268,0.019201396065960018,0.018808294875822473,0.008337084473560363,0.025251652159798233,0.022539255000841887,0.017641691654687257,0.01891160524127989,0.015391006908035423,0.026372545540659303,0.022127324346854774,0.021043888664752177,0.025010382775358615,0.027415343358463514,0.029732234834922048,0.03214627079543488,0.02571879469186656,0.031324765126225285,0.020824175455586617,0.020894073723951467,0.02233046792193378,0.018955027273318943,0.022494640932319388,0.0207880564001978,0.023745395326827123,0.034030627131900915,0.03715077804272348,0.04705454334112942,0.04326539387653749,0.02688635765344084,0.018042169514333076,0.07041986029655589,0.05637601189086719,0.03254550938529814,0.06889358646673155,0.020401283674704063,0.017482599378696465,0.0191721724628737,0.011969975509906212,0.06255259555822477,0.016288254030902616,0.02248906528881385,0.02695646293047545,0.025485281945414485,0.01873406595543252,0.015086807882981647,0.13245821162975768,0.09331427026453784,0.020472485083264175,0.01987130472006676,0.02338528170383377,0.010802769324318605,0.032476580822358395,0.029293644095515044,0.027321907804465015,0.02362514525966788,0.017648832329171988,0.029605057565258587,0.02478123678976856,0.048694727765227035,0.045835993177472036,0.012261545387273086,0.029312168651268365,0.07232938782767151,0.024247187980514,0.017113248054636238,0.018464352363149222,0.025552828601901546,0.01946901722768535,0.020726368568188155,0.011155039065115079,0.010442963232746596,0.023150725547670642,0.019896076441911756,0.020442957843863935
cg01798499,0.012136152739101262,0.013581637362156708,0.016220755399238625,0.018117995939922582,0.015402062750021624,0.013237742487786877,0.014659580913483058,0.013722948607651603,0.007527015631209684,0.011066981783716488,0.014101026664686435,0.013612917357469643,0.01346358043250918,0.011242837761596002,0.01622852807612624,0.01656946932265546,0.013895459169422867,0.01591116445060843,0.012616383642211418,0.03059816593670601,0.025487701963450318,0.02132134756452077,0.02515996524792918,0.016458275385946755,0.014808831848517775,0.015129151735169639,0.017414427198676127,0.01776398534933883,0.01617134042903478,0.020033250409410303,0.0392631068463428,0.015118048506305794,0.01926946750757758,0.015182918483006218,0.016183700628820644,0.012201411877963017,0.01226330934423841,0.01199222949664663,0.012630419730028267,0.01476457865799602,0.012403095613310438,0.011066798026885724,0.011670937519676522,0.007143495550796616,0.011557802564406241,0.011785047616371757,0.01477177465572052,0.015017574440715468,0.013482785388261136,0.01409903789431219,0.014382837263489484,0.35705256019890996,0.33819301021729264,0.011802055758079794,0.014663208901147393,0.0113356606759676,0.00991404249487026,0.011727929867683638,0.010750900521709818,0.015140522203241838,0.014613531075448216,0.012098136922183022,0.01685032894733347,0.013608390822682956,0.01583000316486326,0.013963289877321193,0.010203089089528687,0.014664291350606203,0.014187275086751147,0.015091548781523287,0.011407889648569161,0.01334297111755499,0.01391323110276854,0.01708545894829436,0.015192009231502325,0.007611887529186224,0.009997549380471284,0.01113613437652047,0.012187367081166463,0.013554421043567228
cg10464061,0.02120655577591813,0.019401346553330603,0.0217889881243198,0.02106976384946001,0.022022684319450873,0.017468783692087823,0.01815287946545333,0.01749606928118532,0.010792004198741807,0.015572597746098352,0.015879545459467823,0.017450096588602994,0.01902666795750711,0.012921517935272924,0.019370925371379872,0.02299381692415155,0.017860261027264353,0.01688255366898996,0.014644824202213235,0.023905323194072917,0.028613668547778692,0.022967310305110636,0.02554248115481114,0.020849912395244613,0.022690289465998603,0.01596841496260444,0.023542826475760194,0.01973077296556691,0.017866331764060373,0.019171562882289963,0.015592750077284114,0.015197294890899523,0.01641407256983873,0.019565980632593,0.015233547379876988,0.01478123633417289,0.017624881024687056,0.017084148769140085,0.019424232019379165,0.016888010969889445,0.015715618734700336,0.014897908914699975,0.016612411414242658,0.01109443024930947,0.015912358840742158,0.01727755578515808,0.02112368438153271,0.019599068913860016,0.017394744881473374,0.024450739809172523,0.01474615397337734,0.338350669665693,0.2739930457097612,0.016252945466241425,0.01749375318478593,0.015470422864759524,0.010623038211940558,0.017059950072430437,0.016463656459478136,0.01677879030869333,0.0179865946696794,0.014952970147837388,0.020276351280176404,0.019345388403361686,0.017360943084559308,0.02202218942646418,0.01095040660392155,0.01779543965782988,0.017038960909341226,0.019374271169960915,0.016767595807064137,0.017937169182822604,0.02020821966765021,0.01990416637997354,0.014979224687233152,0.010472975579458524,0.015295364521332743,0.018820818600560358,0.016929982964669844,0.01681705379643587
cg04547158,0.022950592815700832,0.016683256067553016,0.018964113079634463,0.01628460152817724,0.025465941071712007,0.02572560767704703,0.018172570606681277,0.024168571768016733,0.01946115121412867,0.028412294529189253,0.02041771470689087,0.029684692571791498,0.023859678316596165,0.01852562795540098,0.017552250807092943,0.01945209946548428,0.015282741384527107,0.01907135015057811,0.021728037625476104,0.025120635063243076,0.026640780974555973,0.019825792712145993,0.025782773635208776,0.016584992825666986,0.02687660460325432,0.016042907540023302,0.019299878305149832,0.020068312291287978,0.015326432789665997,0.019978307570375328,0.020972857511769537,0.01825279873751302,0.024095623298917897,0.017263691965845446,0.020508220128392787,0.02322088896091667,0.016382100245167834,0.017037578511089873,0.02484929895034025,0.019251888471559054,0.024677536654666165,0.019173576579208988,0.020681192150651662,0.012490800439265315,0.028920075074501676,0.017391878738536377,0.020224849510764822,0.023001231294353625,0.01820307576065228,0.018517272028802254,0.020472798857185358,0.3821623604060245,0.36512231903659464,0.016954208211634212,0.015691595109382478,0.05323366817135649,0.016311414422838753,0.015983228110836436,0.0208023214246735,0.02367060276202248,0.019617165836523353,0.022400602698853918,0.02032449627997767,0.016372190029001046,0.01817658431427521,0.0148403623354198,0.015869647129364912,0.03086903610990709,0.016829647267616155,0.016414239044290447,0.028104681992147114,0.02090558742877658,0.01652446851276232,0.022880007664441288,0.019503936088524652,0.014250008938671285,0.010257242810323808,0.017496568369987572,0.01642307816267678,0.02502816363652721
cg08593668,0.0216593114151375,0.016305822920576942,0.015145405159709552,0.015621402467184286,0.017060164135144346,0.018774826994142603,0.014407414215206195,0.016707862476899902,0.009472534746167301,0.01398033814874401,0.017506321286877773,0.02747534970038186,0.01548480176296748,0.013446960795040742,0.017281864136415886,0.0163861128539506,0.014365713800262973,0.013657041461363326,0.013595971214169899,0.020308228966561048,0.02204698126280619,0.01726320242409089,0.01980297914805359,0.012864744730149603,0.014147901744137424,0.014452456388044897,0.014946472487903765,0.01762633654037869,0.015413288963100878,0.016093846358976236,0.019822734958272855,0.01779495118196346,0.014269658574015192,0.014441333610153144,0.01776746618554297,0.015468994687507013,0.01864399544927221,0.013119447330601669,0.015901832435274404,0.015160347692206717,0.014735162239435275,0.015053317417706937,0.014448265620306804,0.009771299825857904,0.01640539233453263,0.013357558583663854,0.015731935751200413,0.01688498583827916,0.01957798276092759,0.016373707041911545,0.011584330119723091,0.250235891466753,0.28428221387050223,0.013735560597732888,0.014164343719293182,0.025976112634513396,0.013017954857252524,0.013893450993707026,0.013924440920261804,0.019106907677209028,0.025610297388062454,0.014188675866501353,0.014268444103333838,0.015567211036617415,0.013832175239503742,0.014648424622154621,0.00783809839912764,0.019567528880655227,0.020357930364930298,0.015546095685133135,0.02475840192235821,0.016209009255876067,0.015328597528661014,0.015127733960875368,0.016082096734477455,0.008342612129895267,0.008604018984242342,0.013062069599838213,0.02713755460847751,0.028782332441919162
cg13019513,0.016454557597803367,0.014743276472519357,0.014200586851734703,0.012476418159333924,0.015580468692062872,0.016098990533806347,0.014195598020433865,0.01422110183598213,0.010643953793857316,0.017873281547850547,0.017801744651115062,0.018778054192431292,0.02020228844894466,0.014683294840892595,0.01284784026738503,0.015890364929117745,0.014744429929722086,0.013229332479869297,0.015607278495222282,0.027133925062155152,0.022835519328347882,0.014353622841672716,0.018031126592929252,0.015807927306668086,0.014157126175810048,0.016943996760955295,0.014355814549290078,0.016919928900659444,0.013706458440323569,0.014151085420930836,0.015722279280490973,0.01516315667768775,0.013687380275884042,0.014498491347409461,0.015304164935321028,0.01285890554222757,0.012969310358610492,0.012237432110528095,0.01348712363902125,0.01441616313587467,0.017132303694731156,0.015291640092197419,0.015672540934553114,0.009208048761378486,0.015685563485064447,0.01279458062105185,0.01433076246831621,0.014753017336105718,0.015535838712112275,0.015419778505633499,0.01302844794070951,0.26914983237176243,0.018480581591047356,0.013048177763112026,0.011744938381171915,0.025317512414184166,0.01349012210635455,0.015632793643167813,0.017512968500219526,0.01992389837127378,0.018934290499966602,0.016222174538086383,0.012620176225893105,0.014155160366972825,0.01608833864246137,0.01653808996023334,0.009657594025795023,0.02084206331106951,0.01442533324055999,0.013276750336186402,0.01665256205945705,0.017659295945755896,0.017957324565320006,0.016325871626593803,0.017828651584392015,0.010261934603022362,0.009643692910366248,0.01279739179066603,0.013988620637706013,0.014273553157420793
cg18593124,0.03465433965232913,0.02719293579339932,0.034182205545027974,0.025691136763244634,0.027782479791582184,0.02594467615500818,0.0318564765677091,0.055707410684468404,0.012037754646297444,0.024185642046035436,0.02246803887609662,0.024475469885591104,0.024882863460498846,0.0233800587214277,0.021079086735805958,0.031953573746466124,0.03143377647811699,0.027951179954192468,0.016371669788585636,0.02391210659462297,0.02384859407318985,0.016907204882257155,0.02446278753341716,0.025685082648904303,0.02166110231065529,0.02946758269818544,0.02704502793922607,0.027772308369575036,0.02463620936055778,0.031386908991011,0.024088045635957723,0.024743454344013496,0.02397152427280253,0.023916688135348113,0.0272562755608976,0.015412054768862439,0.025249673281609507,0.025176632668985607,0.019596381794506085,0.02789382716921094,0.02932277018813578,0.031484701672068655,0.025720101038916848,0.01170447278871792,0.023313046810825237,0.026870603741500233,0.027945693171963097,0.019844731170088663,0.02077687176688782,0.021142464635377455,0.024876986334083438,0.19284933049769323,0.11579213777694895,0.021827896739270335,0.02578852208018429,0.03265314757832543,0.01369712195156365,0.024115859880394358,0.024341306816088364,0.02412608848728304,0.026627644231595197,0.029240416576602896,0.027445699323507634,0.02528258002895881,0.021210227038977295,0.02371468920034224,0.012804772901447761,0.036220419803170784,0.03281312648907576,0.02189523792952184,0.055753643306189,0.02733978206853436,0.0264454828751774,0.025421536837161692,0.023898080215818802,0.016076790551454674,0.009609143200993483,0.020330342155640998,0.02313351610215282,0.02351920733599179
